,Field_Name,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,Total_N,Total_P,Total_K,Hybrid,Planned_Yield_kg_per_ha
0,M6I2035,14.0,2.5,3049.333333333333,205.5,48.0,48.0,DKB335PRO3,4700.0
1,M6I2036,18.0,2.5,3575.055555555556,492.0,216.0,216.0,DKB335PRO3,4700.0
2,M6I2037,13.0,2.5,3116.2,198.0,60.0,60.0,DKB335PRO3,4700.0
3,M6I2009,9.0,2.5,7678.888888888889,202.4,95.2,96.0,AG8480PRO3,6300.0
4,M6I2010,9.0,2.5,7756.363636363636,179.4,95.2,90.0,AG8480PRO3,6300.0
5,M6I2011,10.0,2.5,8235.2,179.4,95.2,102.0,AG8480PRO3,6300.0
6,M6I20175,9.0,2.5,8178.0,207.85000000000002,122.6,138.0,AG8480PRO3,6300.0
7,M6I2022,10.0,2.5,7470.315789473684,179.95000000000002,97.8,102.0,AG8480PRO3,6300.0
8,M6I20134,17.0,2.5,8674.7,177.5,75.0,140.0,DKB255PRO3,6100.0
9,M6I2015,9.0,2.5,5015.5,135.0,0.0,0.0,AG8088PRO2,6500.0
10,M6I2016,15.0,2.5,11978.28125,99.55,119.6,0.0,AG8065PRO3,10300.0
11,M7I2030,15.0,2.5,8771.363636363636,206.0,104.0,120.0,AG8780PRO3,5400.0
12,M7I2031,17.0,2.5,7753.2692307692305,196.8,104.0,120.0,AG8780PRO3,5400.0
13,M7I2032,20.0,2.5,8737.058823529413,209.8,85.0,90.0,AG8780PRO3,5400.0
14,M7I2033,19.0,2.5,8637.333333333334,196.8,104.0,120.0,AG8780PRO3,5400.0
15,M7I2034,16.0,2.5,5898.333333333333,229.0,104.0,108.0,AG8088PRO2,6100.0
16,M7I2027,23.0,2.5,6616.829268292683,217.0,156.0,90.0,AG8480PRO3,6700.0
17,M7I2028,19.0,2.5,5581.979166666667,214.7,156.0,108.0,AG8480PRO3,6700.0
18,M7I2029,19.0,2.5,5845.0,212.4,156.0,90.0,AS1666PRO3,3200.0
19,M6I2017,14.0,2.5,6613.846153846154,99.55,119.6,0.0,AG8088PRO2,6500.0
20,M6I2049,15.0,2.5,6687.857142857143,16.5,78.0,0.0,AG8780PRO3,4800.0
21,M6I20151,13.0,2.5,4854.146341463415,209.3,119.6,132.0,3320RR2,4400.0
22,M6I2069,13.0,2.5,4907.093023255814,209.3,119.6,132.0,3320RR2,4400.0
23,M6I2052,15.0,2.5,3373.333333333333,0.0,0.0,90.0,AS1633PRO3,4100.0
24,M6I20167,10.0,2.5,4364.0,220.0,108.0,150.0,AS1844PRO3,5300.0
25,M6I20168,16.0,2.5,7129.333333333333,220.0,108.0,270.0,AS1844PRO3,5300.0
26,M6I2093,18.0,2.5,7101.0,25.3,119.6,120.0,AG8480PRO3,6700.0
27,M6I2094,19.0,2.5,6639.666666666667,25.3,119.6,120.0,AG8480PRO3,6700.0
28,M6I2095,15.0,2.5,6489.5,25.3,119.6,120.0,AG8480PRO3,6600.0
29,M6I2096,21.0,2.5,8330.0,25.3,119.6,120.0,AG8480PRO3,6700.0
30,M6I2097,16.0,2.5,6873.333333333333,25.3,119.6,120.0,AG8480PRO3,6600.0
31,M6I2098,13.0,2.5,7185.0,25.3,119.6,120.0,AG8480PRO3,6600.0
32,M6I2038,15.0,2.5,8398.99096068951,17.93,84.76,69.6,DKB255PRO3,6600.0
33,M6I2041,15.0,2.5,8854.282990603295,25.52,120.64,117.6,DKB255PRO3,6600.0
34,M6I2042,15.0,2.5,8654.46682839363,13.75,65.0,123.6,DKB255PRO3,6600.0
35,M6I2043,15.0,2.5,7692.449156209434,15.84,74.88,121.8,DKB255PRO3,5900.0
36,M6I2044,15.0,2.5,9146.819955700876,108.1306,97.9992,105.0,DKB255PRO3,6600.0
37,M6I2045,15.0,2.5,8609.218436873747,20.5183,96.9956,111.6,DKB255PRO3,6600.0
38,M6I2046,15.0,2.5,8957.34126984127,23.87,112.84,82.8,DKB255PRO3,6600.0
39,M6I2047,15.0,2.5,9069.224137931034,100.60000000000001,62.4,84.0,DKB255PRO3,6500.0
40,M6I2048,15.0,2.5,9911.151736745886,100.60000000000001,62.4,145.99800000000002,DKB255PRO3,6500.0
41,M2I2036,15.0,2.5,7140.826446280992,22.0,104.0,0.0,AG8480PRO3,6100.0
42,M2I2037,15.0,2.5,8248.023952095808,22.0,104.0,0.0,AG8480PRO3,6100.0
43,M6I20130,16.0,2.5,9297.166666666666,186.3,119.6,120.0,AG8780PRO3,4800.0
44,M6I20131,15.0,2.5,8500.70588235294,94.3,119.6,120.0,AG8780PRO3,4800.0
45,M7I2076,15.0,2.5,4653.882352941177,201.38,82.16,102.0,AG9030PRO3,5700.0
46,M7I2077,19.0,2.5,6022.033898305085,214.52,79.04,111.0,AG9030PRO3,5700.0
47,M7I2078,21.0,2.5,7221.714285714285,200.72,79.04,117.0,AS1666PRO3,3300.0
48,M6I20152,21.0,2.5,2361.45447983398,209.3,119.6,0.0,DKB363PRO3,2900.0
49,M6I20153,22.0,2.5,4633.441383036196,209.3,119.6,0.0,DKB363PRO3,2900.0
50,M6I20154,13.0,2.5,4860.881277660189,163.3,119.6,0.0,DKB363PRO3,2900.0
51,M6I20155,13.0,2.5,4996.134483998562,209.3,119.6,120.0,DKB363PRO3,2900.0
52,M7I2024,20.0,2.5,5461.153846153846,188.26000000000002,107.12,120.0,AS1777PRO3,3700.0
53,M7I2025,20.0,2.5,6461.785714285715,197.13,105.56,90.0,AS1777PRO3,3600.0
54,M7I2026,18.0,2.5,7190.566037735849,187.93,105.56,120.0,AS1777PRO3,3500.0
55,M6I2012,15.0,2.5,7512.5,22.0,104.0,72.0,DKB255PRO3,6200.0
56,M6I2013,15.0,2.5,8578.942307692309,114.0,104.0,72.0,DKB255PRO3,6200.0
57,M6I2014,15.0,2.5,7708.988764044944,204.0,104.0,72.0,DKB255PRO3,6200.0
58,M7I2012,20.0,2.5,8712.75,201.6,83.2,108.0,AG8480PRO3,6600.0
59,M7I2013,16.0,2.5,8740.93023255814,201.6,83.2,102.0,AG8480PRO3,6700.0
60,M7I2014,16.0,2.5,6153.333333333333,208.3,104.0,120.0,DKB265PRO3,4400.0
61,M7I2015,13.0,2.5,7102.875,207.28,114.4,108.0,DKB265PRO3,4400.0
62,M7I2016,15.0,2.5,9339.53846153846,206.35999999999999,114.4,108.0,AG8780PRO3,5600.0
63,M7I2017,15.0,2.5,9348.25,203.7,104.0,108.0,AG8780PRO3,5600.0
64,M7I2018,12.0,2.5,5494.769230769231,205.89999999999998,114.4,108.0,DKB265PRO3,4400.0
65,M7I2035,15.0,2.5,8804.222222222223,208.2,114.4,90.0,DKB255PRO3,6600.0
66,M2I2029,8.0,2.5,8261.25,174.8,0.0,120.0,AS1820PRO3,6200.0
67,M2I2030,13.0,2.5,7737.6,174.8,0.0,120.0,AS1820PRO3,6200.0
68,M2I2031,11.0,2.5,8530.0,174.8,0.0,120.0,AS1820PRO3,6200.0
69,M2I2021,12.0,2.5,8271.533333333333,192.2,104.0,0.0,AG8480PRO3,6500.0
70,M2I2023,12.0,2.5,8546.5625,192.2,104.0,0.0,AG8480PRO3,6500.0
71,M2I2033,11.0,2.5,7845.057471264367,187.6,104.0,0.0,AG8480PRO3,6500.0
72,M2I2034,21.0,2.5,4886.357142857143,0.44,2.08,0.0,AS1844PRO3,6400.0
73,M2I2008,19.0,2.5,8715.555555555555,210.0,119.6,120.0,DKB255PRO3,6300.0
74,M2I2009,19.0,2.5,8331.743119266055,145.6,119.6,240.0,DKB255PRO3,6300.0
75,M2I2010,18.0,2.5,8048.495575221239,85.8,119.6,120.0,DKB255PRO3,6300.0
76,M2I2011,16.0,2.5,8352.192982456141,59.8,0.0,120.0,DKB255PRO3,6300.0
77,M2I2012,17.0,2.5,8712.521739130434,26.0,119.6,120.0,DKB255PRO3,6300.0
78,M6I20174,15.0,2.5,6688.068181818182,33.0,99.0,105.0,DKB360PRO3,5200.0
79,M6I2025,15.0,2.5,7028.653846153846,206.0,78.0,90.0,DKB360PRO3,5200.0
80,M6I2026,15.0,2.5,5214.333333333333,35.0,105.0,97.8,DKB360PRO3,5300.0
81,M6I2027,15.0,2.5,6849.423076923077,33.0,99.0,96.0,DKB360PRO3,5200.0
82,M6I2028,15.0,2.5,6524.180327868852,33.0,99.0,96.0,DKB360PRO3,5200.0
83,M6I2029,15.0,2.5,7230.178571428572,33.0,99.0,0.0,DKB360PRO3,5200.0
84,M6I2030,15.0,2.5,5972.533333333334,33.0,99.0,106.2,DKB360PRO3,5300.0
85,M6I20140,23.0,2.5,3991.285714285714,120.6,135.2,90.0,DKB265PRO3,3800.0
86,M7I2045,20.0,2.5,9939.23076923077,199.6,115.44,108.0,AG8065PRO3,9500.0
87,M7I2098,16.0,2.5,8619.411764705883,215.2,230.88,216.0,AS1820PRO3,6100.0
88,M7I2005,22.0,2.5,7023.560209424084,148.5,104.0,120.0,AG8700PRO3,4800.0
89,M7I2006,14.0,2.5,4494.579439252337,149.88,104.0,120.0,AG8700PRO3,4800.0
90,M7I2007,15.0,2.5,4455.333333333333,150.8,104.0,120.0,AG8700PRO3,4800.0
91,M7I2008,46.0,2.5,4699.090909090909,299.0,239.2,240.0,AG8700PRO3,4800.0
92,M7I2009,18.0,2.5,6549.430894308943,153.0,114.4,120.0,AG8700PRO3,4800.0
93,M2I2024,15.0,2.5,6563.369565217391,192.00000000000003,124.8,0.0,DKB265PRO3,5200.0
94,M2I2047,15.0,2.5,5513.484848484848,192.00000000000003,124.8,0.0,AG8480PRO3,6500.0
95,M6I20115,10.0,2.5,6532.359550561798,199.0,90.0,132.0,AG9050PRO3,3600.0
96,M6I20116,14.0,2.5,7361.186440677966,199.0,90.0,120.0,AG9050PRO3,3600.0
97,M6I20117,14.0,2.5,6310.833333333333,197.3,79.8,125.6,AG9050PRO3,3600.0
98,M6I20103,13.0,2.5,4554.6875,81.5,130.0,120.0,DKB363PRO3,3000.0
99,M6I20104,11.0,2.5,4720.0,54.0,0.0,120.0,DKB363PRO3,3000.0
100,M6I20105,12.0,2.5,5190.5,54.0,0.0,120.0,DKB363PRO3,3000.0
101,M6I20106,15.0,2.5,5149.032258064516,54.0,0.0,120.0,DKB363PRO3,3000.0
102,M6I20129,15.0,2.5,3658.707482993197,22.0,104.0,0.0,DKB363PRO3,3000.0
103,M7I2052,17.0,2.5,2904.9333333333334,206.66,107.12,120.0,DKB265PRO3,3800.0
104,M7I2053,18.0,2.5,6827.5,208.86,117.52,120.0,AG8700PRO3,4800.0
105,M7I2054,17.0,2.5,6970.333333333333,208.86,117.52,120.0,AG8700PRO3,4800.0
106,M2I2001,14.0,2.5,7955.7,170.4,0.0,108.0,AS1777PRO3,4800.0
107,M2I2002,18.0,2.5,8902.285714285714,176.4,0.0,114.0,AS1777PRO3,4800.0
108,M2I2003,20.0,2.5,7622.285714285715,170.4,0.0,108.0,AS1777PRO3,4800.0
109,M7I2040,21.0,2.5,6999.6,100.87,85.04,112.2,AG8061PRO2,3500.0
110,M7I2041,25.0,2.5,4735.714285714285,101.19999999999999,86.60000000000001,123.6,AG8061PRO2,3800.0
111,M7I2042,21.0,2.5,3013.333333333333,114.25999999999999,84.52000000000001,125.4,AG8061PRO2,3800.0
112,M7I2043,21.0,2.5,3551.1428571428573,114.25999999999999,84.52000000000001,124.8,AG8061PRO2,3800.0
