,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,N_total_kg_per_Ha,P_total_kg_per_Ha,K_total_kg_per_Ha
0,-220.35,14.0,2.5,205.5,48.0,48.0
1,3847.21,18.0,2.5,246.0,108.0,108.0
2,415.52,13.0,2.5,198.0,60.0,60.0
3,724.51,9.0,2.5,201.85,92.6,96.0
4,502.1,9.0,2.5,178.85000000000002,92.6,90.0
5,539.27,10.0,2.5,178.85000000000002,92.6,102.0
6,814.34,9.0,2.5,207.85,122.6,138.0
7,549.46,10.0,2.5,178.85000000000002,92.6,102.0
8,730.99,17.0,2.5,177.5,75.0,140.0
9,1048.51,15.0,2.5,114.0,104.0,120.0
10,965.63,17.0,2.5,196.8,104.0,120.0
11,1019.04,20.0,2.5,209.8,85.0,90.0
12,1034.53,19.0,2.5,196.8,104.0,120.0
13,1211.95,16.0,2.5,137.0,104.0,108.0
14,1238.38,23.0,2.5,125.0,156.0,90.0
15,1107.38,19.0,2.5,214.7,156.0,108.0
16,1084.94,19.0,2.5,212.4,156.0,90.0
17,920.28,13.0,2.5,117.3,119.6,132.0
18,922.04,13.0,2.5,209.3,119.6,132.0
19,791.93,10.0,2.5,128.0,108.0,150.0
20,280.04,18.0,2.5,25.3,119.6,120.0
21,286.06,19.0,2.5,25.3,119.6,120.0
22,1077.33,15.0,2.5,25.3,119.6,120.0
23,1258.23,21.0,2.5,25.3,119.6,120.0
24,1109.83,16.0,2.5,25.3,119.6,120.0
25,1058.22,13.0,2.5,25.3,119.6,120.0
26,-559.76,15.0,2.5,17.93,84.76,69.6
27,-469.93,15.0,2.5,25.52,120.64,117.6
28,-559.94,15.0,2.5,13.75,65.0,123.6
29,-576.1,15.0,2.5,15.84,74.88,121.8
30,167.25,15.0,2.5,108.1306,97.9992,105.0
31,-517.03,15.0,2.5,20.5183,96.9956,111.6
32,-492.96,15.0,2.5,23.87,112.84,82.8
33,94.93,15.0,2.5,100.6,62.4,84.0
34,147.03,15.0,2.5,100.6,62.4,145.99800000000002
35,890.3,16.0,2.5,186.3,119.6,120.0
36,40.85,15.0,2.5,94.3,119.6,120.0
37,866.61,15.0,2.5,201.05,80.6,102.0
38,1129.61,19.0,2.5,122.52,79.04,111.0
39,1070.73,21.0,2.5,108.72,79.04,117.0
40,919.91,13.0,2.5,117.3,119.6,120.0
41,870.74,20.0,2.5,77.53,105.56,120.0
42,976.89,20.0,2.5,139.63,105.56,90.0
43,881.41,18.0,2.5,105.13,105.56,120.0
44,-577.94,15.0,2.5,22.0,104.0,72.0
45,163.09,15.0,2.5,114.0,104.0,72.0
46,496.51,15.0,2.5,204.0,104.0,72.0
47,1102.21,20.0,2.5,109.6,83.2,108.0
48,1018.44,16.0,2.5,109.6,83.2,102.0
49,1009.29,16.0,2.5,208.3,104.0,120.0
50,961.43,13.0,2.5,207.28,114.4,108.0
51,1064.11,15.0,2.5,206.36,114.4,108.0
52,1038.79,15.0,2.5,203.7,104.0,108.0
53,876.16,12.0,2.5,205.9,114.4,108.0
54,1058.31,15.0,2.5,116.2,114.4,90.0
55,1060.97,19.0,2.5,150.2,119.6,120.0
56,490.6,19.0,2.5,85.8,119.6,120.0
57,-85.83,18.0,2.5,85.8,119.6,120.0
58,-534.9,17.0,2.5,26.0,119.6,120.0
59,-623.14,15.0,2.5,33.0,99.0,105.0
60,-59.9,15.0,2.5,116.0,78.0,90.0
61,-666.04,15.0,2.5,35.0,105.0,97.8
