,Field_Name,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,Total_N,Total_P,Total_K,Season,Hybrid,Planned_Yield_kg_per_ha
0,M6I2035,-220.35,14.0,2.5,3049.333333333333,205.5,48.0,48.0,WINTER,DKB335PRO3,4700.0
1,M6I2036,3847.21,18.0,2.5,3575.055555555556,492.0,216.0,216.0,WINTER,DKB335PRO3,4700.0
2,M6I2037,415.52,13.0,2.5,3116.2,198.0,60.0,60.0,WINTER,DKB335PRO3,4700.0
3,M6I2009,724.51,9.0,2.5,7678.888888888889,202.4,95.2,96.0,WINTER,AG8480PRO3,6300.0
4,M6I2010,502.1,9.0,2.5,7756.363636363636,179.4,95.2,90.0,WINTER,AG8480PRO3,6300.0
5,M6I2011,539.27,10.0,2.5,8235.2,179.4,95.2,102.0,WINTER,AG8480PRO3,6300.0
6,M6I20175,814.34,9.0,2.5,8178.0,207.85000000000002,122.6,138.0,WINTER,AG8480PRO3,6300.0
7,M6I2022,549.46,10.0,2.5,7470.315789473684,179.95000000000002,97.8,102.0,WINTER,AG8480PRO3,6300.0
8,M6I20134,730.99,17.0,2.5,8674.7,177.5,75.0,140.0,WINTER,DKB255PRO3,6100.0
9,M6V2017,-246.74,14.0,3.69,7586.243386243387,170.2,0.0,0.0,SUMMER,AS1777PRO3,6200.0
10,M6V2018,219.02,20.0,3.38,7204.924242424243,179.4,0.0,90.0,SUMMER,AS1777PRO3,6200.0
11,M6I2015,407.45,9.0,2.5,5015.5,135.0,0.0,0.0,WINTER,AG8088PRO2,6500.0
12,M6I2016,314.58,15.0,2.5,11978.28125,99.55,119.6,0.0,WINTER,AG8065PRO3,10300.0
13,M6V2039,860.73,18.0,2.6814285714285715,11941.555555555557,148.5,0.0,0.0,SUMMER,AG7088PRO3,7000.0
14,M6V2040,799.98,17.0,2.6814285714285715,10673.777777777776,148.5,0.0,0.0,SUMMER,AG7088PRO3,7000.0
15,M7I2030,1048.51,15.0,2.5,8771.363636363636,206.0,104.0,120.0,WINTER,AG8780PRO3,5400.0
16,M7I2031,965.63,17.0,2.5,7753.2692307692305,196.8,104.0,120.0,WINTER,AG8780PRO3,5400.0
17,M7I2032,1019.04,20.0,2.5,8737.058823529413,209.8,85.0,90.0,WINTER,AG8780PRO3,5400.0
18,M7I2033,1034.53,19.0,2.5,8637.333333333334,196.8,104.0,120.0,WINTER,AG8780PRO3,5400.0
19,M7I2034,1211.95,16.0,2.5,5898.333333333333,229.0,104.0,108.0,WINTER,AG8088PRO2,6100.0
20,M7I2027,1238.38,23.0,2.5,6616.829268292683,217.0,156.0,90.0,WINTER,AG8480PRO3,6700.0
21,M7I2028,1107.38,19.0,2.5,5581.979166666667,214.7,156.0,108.0,WINTER,AG8480PRO3,6700.0
22,M7I2029,1084.94,19.0,2.5,5845.0,212.4,156.0,90.0,WINTER,AS1666PRO3,3200.0
23,M7V2036,1426.97,25.0,2.3162500000000006,6964.509803921569,211.88,114.4,120.0,SUMMER,AG9025PRO3,8600.0
24,M6V2074,-1118.18,15.0,3.320000000000001,11586.42857142857,23.0,75.9,0.0,SUMMER,AG8780PRO3,6300.0
25,M6V2075,-1069.08,15.0,3.05,6791.805555555556,23.0,75.9,0.0,SUMMER,AG8780PRO3,6300.0
26,M6V2076,-611.26,15.0,2.620000000000001,10860.333333333334,26.0,85.8,0.0,SUMMER,AG8780PRO3,6300.0
27,M6V2077,-562.59,15.0,2.5842857142857145,11823.36,23.5,77.55,0.0,SUMMER,AG8780PRO3,6300.0
28,M6I2017,124.6,14.0,2.5,6613.846153846154,99.55,119.6,0.0,WINTER,AG8088PRO2,6500.0
29,M6V2042,827.28,10.0,2.575555555555556,13583.214285714286,148.5,0.0,0.0,SUMMER,AG7088PRO3,7000.0
30,M6V2085,-37.64,13.0,2.5,7345.714285714285,74.25,0.0,0.0,SUMMER,DKB360PRO3,6000.0
31,M6V2086,58.13,15.0,2.47,8371.777777777777,74.25,0.0,0.0,SUMMER,DKB360PRO3,6000.0
32,M6V2019,456.65,20.0,2.5,5388.190476190476,144.82999999999998,1.56,90.0,SUMMER,DKB230PRO3,4700.0
33,M6V2020,585.01,18.0,2.3,6132.5,144.5,0.0,90.0,SUMMER,DKB230PRO3,4700.0
34,M6V2021,158.27,17.0,2.7,2694.6153846153848,144.5,0.0,90.0,SUMMER,DKB230PRO3,4700.0
35,M6V2022,312.2,18.0,2.2,3626.0416666666665,114.0,0.0,90.0,SUMMER,DKB230PRO3,4700.0
36,M6V2023,821.49,21.0,1.9,2272.0689655172414,144.5,0.0,90.0,SUMMER,DKB230PRO3,4700.0
37,M6V2024,550.49,15.0,2.2,4642.5,144.5,0.0,90.0,SUMMER,DKB230PRO3,4700.0
38,M6V2005,647.47,20.0,2.68,9017.383669885863,172.77999999999997,124.88000000000001,139.8,SUMMER,AG8700PRO3,4200.0
39,M6V2006,-370.11,14.0,2.68,7787.478108581436,71.36,123.84,139.8,SUMMER,AG8700PRO3,4200.0
40,M6I2049,-653.39,15.0,2.5,6687.857142857143,16.5,78.0,0.0,WINTER,AG8780PRO3,4800.0
41,M6V2073,575.44,16.0,3.03695652173913,8377.307692307691,198.0,105.0,176.0,SUMMER,AG7088RR2,8000.0
42,M6I20151,920.28,13.0,2.5,4854.146341463415,209.3,119.6,132.0,WINTER,3320RR2,4400.0
43,M6I2069,922.04,13.0,2.5,4907.093023255814,209.3,119.6,132.0,WINTER,3320RR2,4400.0
44,M6V2034,917.31,14.0,2.4,9935.121951219511,184.0,0.0,0.0,SUMMER,AS1757PRO3,6300.0
45,M6V2035,152.32,15.0,2.5,6537.954545454545,117.3,119.6,0.0,SUMMER,AS1757PRO3,6300.0
46,M6I2052,-841.28,15.0,2.5,3373.333333333333,0.0,0.0,90.0,WINTER,AS1633PRO3,4100.0
47,M6I20167,791.93,10.0,2.5,4364.0,220.0,108.0,150.0,WINTER,AS1844PRO3,5300.0
48,M6I20168,1052.09,16.0,2.5,7129.333333333333,220.0,108.0,270.0,WINTER,AS1844PRO3,5300.0
49,M2V2027,3214.68,16.0,2.5,3149.894736842105,386.45810000000006,337.3292,162.0,SUMMER,DKB363PRO3,2800.0
50,M6I2093,280.04,18.0,2.5,7101.0,25.3,119.6,120.0,WINTER,AG8480PRO3,6700.0
