,Field_Name,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,Total_N,Total_P,Total_K,CO2_kg_per_Ha
0,M6I2035,14.0,2.5,3049.333333333333,205.5,48.0,48.0,-220.35
1,M6I2037,13.0,2.5,3116.2,198.0,60.0,60.0,415.52
2,M6I2009,9.0,2.5,7678.888888888889,202.4,95.2,96.0,724.51
3,M6I2010,9.0,2.5,7756.363636363636,179.4,95.2,90.0,502.1
4,M6I2011,10.0,2.5,8235.2,179.4,95.2,102.0,539.27
5,M6I20175,9.0,2.5,8178.0,207.85000000000002,122.6,138.0,814.34
6,M6I2022,10.0,2.5,7470.315789473684,179.95000000000002,97.8,102.0,549.46
7,M6I20134,17.0,2.5,8674.7,177.5,75.0,140.0,730.99
8,M7I2030,15.0,2.5,8771.363636363636,206.0,104.0,120.0,1048.51
9,M7I2031,17.0,2.5,7753.2692307692305,196.8,104.0,120.0,965.63
10,M7I2032,20.0,2.5,8737.058823529413,209.8,85.0,90.0,1019.04
11,M7I2033,19.0,2.5,8637.333333333334,196.8,104.0,120.0,1034.53
12,M7I2034,16.0,2.5,5898.333333333333,229.0,104.0,108.0,1211.95
13,M7I2027,23.0,2.5,6616.829268292683,217.0,156.0,90.0,1238.38
14,M7I2028,19.0,2.5,5581.979166666667,214.7,156.0,108.0,1107.38
15,M7I2029,19.0,2.5,5845.0,212.4,156.0,90.0,1084.94
16,M6I20151,13.0,2.5,4854.146341463415,209.3,119.6,132.0,920.28
17,M6I2069,13.0,2.5,4907.093023255814,209.3,119.6,132.0,922.04
18,M6I20167,10.0,2.5,4364.0,220.0,108.0,150.0,791.93
19,M6I2093,18.0,2.5,7101.0,25.3,119.6,120.0,280.04
20,M6I2094,19.0,2.5,6639.666666666667,25.3,119.6,120.0,286.06
21,M6I2095,15.0,2.5,6489.5,25.3,119.6,120.0,1077.33
22,M6I2096,21.0,2.5,8330.0,25.3,119.6,120.0,1258.23
23,M6I2097,16.0,2.5,6873.333333333333,25.3,119.6,120.0,1109.83
24,M6I2098,13.0,2.5,7185.0,25.3,119.6,120.0,1058.22
25,M6I2038,15.0,2.5,8398.99096068951,17.93,84.76,69.6,-559.76
26,M6I2041,15.0,2.5,8854.282990603295,25.52,120.64,117.6,-469.93
27,M6I2042,15.0,2.5,8654.46682839363,13.75,65.0,123.6,-559.94
28,M6I2043,15.0,2.5,7692.449156209434,15.84,74.88,121.8,-576.1
29,M6I2044,15.0,2.5,9146.819955700876,108.1306,97.9992,105.0,167.25
30,M6I2045,15.0,2.5,8609.218436873747,20.5183,96.9956,111.6,-517.03
31,M6I2046,15.0,2.5,8957.34126984127,23.87,112.84,82.8,-492.96
32,M6I2047,15.0,2.5,9069.224137931034,100.60000000000001,62.4,84.0,94.93
33,M6I2048,15.0,2.5,9911.151736745886,100.60000000000001,62.4,145.99800000000002,147.03
34,M6I20130,16.0,2.5,9297.166666666666,186.3,119.6,120.0,890.3
35,M6I20131,15.0,2.5,8500.70588235294,94.3,119.6,120.0,40.85
36,M7I2076,15.0,2.5,4653.882352941177,201.38,82.16,102.0,866.61
37,M7I2077,19.0,2.5,6022.033898305085,214.52,79.04,111.0,1129.61
38,M7I2078,21.0,2.5,7221.714285714285,200.72,79.04,117.0,1070.73
39,M6I20155,13.0,2.5,4996.134483998562,209.3,119.6,120.0,919.91
40,M7I2024,20.0,2.5,5461.153846153846,188.26000000000002,107.12,120.0,870.74
41,M7I2025,20.0,2.5,6461.785714285715,197.13,105.56,90.0,976.89
42,M7I2026,18.0,2.5,7190.566037735849,187.93,105.56,120.0,881.41
43,M6I2012,15.0,2.5,7512.5,22.0,104.0,72.0,-577.94
44,M6I2013,15.0,2.5,8578.942307692309,114.0,104.0,72.0,163.09
45,M6I2014,15.0,2.5,7708.988764044944,204.0,104.0,72.0,496.51
46,M7I2012,20.0,2.5,8712.75,201.6,83.2,108.0,1102.21
47,M7I2013,16.0,2.5,8740.93023255814,201.6,83.2,102.0,1018.44
48,M7I2014,16.0,2.5,6153.333333333333,208.3,104.0,120.0,1009.29
49,M7I2015,13.0,2.5,7102.875,207.28,114.4,108.0,961.43
50,M7I2016,15.0,2.5,9339.53846153846,206.35999999999999,114.4,108.0,1064.11
51,M7I2017,15.0,2.5,9348.25,203.7,104.0,108.0,1038.79
52,M7I2018,12.0,2.5,5494.769230769231,205.89999999999998,114.4,108.0,876.16
53,M7I2035,15.0,2.5,8804.222222222223,208.2,114.4,90.0,1058.31
54,M2I2008,19.0,2.5,8715.555555555555,210.0,119.6,120.0,1060.97
55,M2I2010,18.0,2.5,8048.495575221239,85.8,119.6,120.0,-85.83
56,M2I2012,17.0,2.5,8712.521739130434,26.0,119.6,120.0,-534.9
57,M6I20174,15.0,2.5,6688.068181818182,33.0,99.0,105.0,-623.14
58,M6I2025,15.0,2.5,7028.653846153846,206.0,78.0,90.0,-59.9
59,M6I2026,15.0,2.5,5214.333333333333,35.0,105.0,97.8,-666.04
60,M6I2027,15.0,2.5,6849.423076923077,33.0,99.0,96.0,-621.57
61,M6I2028,15.0,2.5,6524.180327868852,33.0,99.0,96.0,-631.81
62,M6I2030,15.0,2.5,5972.533333333334,33.0,99.0,106.2,-645.24
63,M6I20140,23.0,2.5,3991.285714285714,120.6,135.2,90.0,238.65
64,M7I2045,20.0,2.5,9939.23076923077,199.6,115.44,108.0,1069.84
65,M7I2005,22.0,2.5,7023.560209424084,148.5,104.0,120.0,593.5
66,M7I2006,14.0,2.5,4494.579439252337,149.88,104.0,120.0,361.95
67,M7I2007,15.0,2.5,4455.333333333333,150.8,104.0,120.0,389.23
68,M7I2009,18.0,2.5,6549.430894308943,153.0,114.4,120.0,536.26
69,M6I20115,10.0,2.5,6532.359550561798,199.0,90.0,132.0,750.63
70,M6I20116,14.0,2.5,7361.186440677966,199.0,90.0,120.0,854.15
71,M6I20117,14.0,2.5,6310.833333333333,197.3,79.8,125.6,814.24
72,M6I20103,13.0,2.5,4554.6875,81.5,130.0,120.0,-469.06
73,M7I2052,17.0,2.5,2904.9333333333334,206.66,107.12,120.0,910.12
74,M7I2053,18.0,2.5,6827.5,208.86,117.52,120.0,1076.07
75,M7I2054,17.0,2.5,6970.333333333333,208.86,117.52,120.0,1060.16
76,M7I2040,21.0,2.5,6999.6,100.87,85.04,112.2,334.79
77,M7I2041,25.0,2.5,4735.714285714285,101.19999999999999,86.60000000000001,123.6,352.49
78,M7I2042,21.0,2.5,3013.333333333333,114.25999999999999,84.52000000000001,125.4,358.37
79,M7I2043,21.0,2.5,3551.1428571428573,114.25999999999999,84.52000000000001,124.8,375.07
80,M7I2044,25.0,2.5,2687.872340425532,103.75999999999999,106.72,118.8,300.12
81,M7I2046,25.0,2.5,2283.913043478261,101.19999999999999,86.60000000000001,125.4,275.9
82,M6I20111,13.0,2.5,6178.769230769231,186.3,119.6,132.0,735.25
83,M2I2025,20.0,2.5,8445.285714285714,274.6,119.6,132.0,950.38
84,M2I2026,17.0,2.5,7234.375,192.9,124.8,132.0,46.64
85,M2I2027,18.0,2.5,5850.181818181818,192.9,124.8,132.0,23.35
86,M6I20142,15.0,2.5,7211.111111111111,96.5,56.0,128.0,-153.03
