Crop_Protection_Application_Doses,Soil_Organic_Matter,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha,CO2_kg_per_Ha,Yield_kg_per_Ha
14,3.69,170.2,0,0,0,0,0,0,-246.74,7586.243386
20,3.38,179.4,0,0,0,0,0,90,219.02,7204.924242
18,2.681428571,0,74.25,74.25,0,0,0,0,860.73,11941.55556
17,2.681428571,0,74.25,74.25,0,0,0,0,799.98,10673.77778
15,3.32,0,23,0,75.9,0,0,0,-1118.18,11586.42857
15,3.05,0,23,0,75.9,0,0,0,-1069.08,6791.805556
15,2.62,0,26,0,85.8,0,0,0,-611.26,10860.33333
15,2.584285714,0,23.5,0,77.55,0,0,0,-562.59,11823.36
10,2.575555556,0,74.25,74.25,0,0,0,0,827.28,13583.21429
13,2.5,0,37.125,37.125,0,0,0,0,-37.64,7345.714286
15,2.47,0,37.125,37.125,0,0,0,0,58.13,8371.777778
20,2.5,92,0,52.83,0,1.56,0,90,456.65,5388.190476
18,2.3,92,0,52.5,0,0,0,90,585.01,6132.5
17,2.7,92,0,52.5,0,0,0,90,158.27,2694.615385
18,2.2,55.2,0,58.8,0,0,0,90,312.2,3626.041667
21,1.9,92,0,52.5,0,0,0,90,821.49,2272.068966
15,2.2,92,0,52.5,0,0,0,90,550.49,4642.5
20,2.68,147.2,24.48,1.1,119.68,5.2,0,139.8,647.47,9017.38367
14,2.68,46,24.48,0.88,119.68,4.16,0,139.8,-370.11,7787.478109
16,3.036956522,184,14,0,105,0,56,120,575.44,8377.307692
14,2.4,184,0,0,0,0,0,0,917.31,9935.121951
15,2.5,92,0,25.3,0,119.6,0,0,152.32,6537.954545
16,2.5,315.1,0,71.3581,0,337.3292,0,162,3214.68,3149.894737
9,2.86,69,150.7,0,0,0,0,0,-82.91,5548.832117
23,2.5,165.6,0,0,0,0,0,0,813.39,8683.153153
17,2.5,184,0,22,0,104,0,120,1106.38,8185.222222
25,2.5,179.4,0,23.1,0,109.2,0,120,1255.56,8833.76
23,2.5,179.4,0,0,0,0,0,0,914.34,7752.909091
21,2.5,179.4,0,0,0,0,0,0,820.02,6075
15,2.5,179.4,0,0,0,0,0,0,689.96,5848.510638
18,2.5,59.8,0,0,0,0,0,0,-194.42,8117.5
26,2.5,179.4,0,23.1,0,109.2,0,120,1248.87,7974.769231
13,4.5,184,0,17.6,0,83.2,0,120,-493.88,8476.666667
16,2.5,184,0,16.5,0,78,0,120,1135.37,11399.53704
23,4.5,92,0,22,0,104,0,120,-1146.97,6534.5
15,4.8,184,0,16.5,0,78,0,120,-665.73,9130.47619
19,5.3,92,0,16.5,0,78,0,108,-1427.07,8814.416667
