,N_as_Nitrate_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,K_as_Potassium_kg_per_Ha,Field_Name,Soil_Organic_Matter,Yield_Mass_kg_Per_Ha,CO2_kg_Emissions_per_Ha
0,6000.0,0.0,6000.0,M2I2001,2.5,4786.9,349.85
1,6600.0,0.0,6600.0,M2I2002,2.5,5234.476190476191,488.41
2,6000.0,0.0,6000.0,M2I2003,2.5,4358.380952380952,462.26
3,0.0,0.0,0.0,M2I2005,2.5,3400.4,409.14
4,0.0,0.0,0.0,M2I2006,2.5,3033.0,261.38
5,0.0,0.0,0.0,M2I2007,2.5,3077.6296296296296,359.71
6,2600.0,11960.0,0.0,M2I2008,2.5,4960.0,1060.97
7,2600.0,11960.0,0.0,M2I2009,2.5,4477.614678899083,490.6
8,2600.0,11960.0,0.0,M2I2010,2.5,4445.221238938053,-85.83
9,0.0,0.0,0.0,M2I2011,2.5,4844.298245614035,-213.99
10,2600.0,11960.0,0.0,M2I2012,2.5,5228.347826086957,-534.9
11,0.0,0.0,0.0,M2I2013,2.5,4309.304347826087,-553.55
12,0.0,0.0,0.0,M2I2021,2.5,4986.866666666667,786.73
13,0.0,0.0,0.0,M2I2023,2.5,5081.8125,793.47
14,0.0,0.0,0.0,M2I2024,2.5,3511.413043478261,788.37
15,16650.0,0.0,13200.0,M2I2025,2.5,4560.428571428572,950.38
16,16650.0,0.0,13200.0,M2I2026,2.5,3651.875,46.64
17,16650.0,0.0,13200.0,M2I2027,2.5,2936.818181818182,23.35
18,0.0,0.0,0.0,M2I2029,2.5,4770.0,592.87
19,0.0,0.0,0.0,M2I2030,2.5,4025.9,678.78
20,0.0,0.0,0.0,M2I2031,2.5,4810.932203389831,662.85
21,0.0,0.0,0.0,M2I2033,2.5,4409.770114942528,706.08
22,0.0,0.0,0.0,M2I2034,2.5,2415.3571428571427,-704.27
23,0.0,0.0,0.0,M2I2036,2.5,3796.03305785124,-598.51
24,0.0,0.0,0.0,M2I2037,2.5,4414.311377245509,-563.55
25,0.0,0.0,13200.0,M2I2039,2.5,4295.490196078431,459.49
26,8000.0,0.0,8000.0,M2I2041,2.5,2087.1794871794873,186.07
27,5400.0,0.0,5400.0,M2I2042,2.5,2780.1,243.67
28,8000.0,0.0,8000.0,M2I2043,2.5,1934.4086021505377,146.48
29,8000.0,0.0,8000.0,M2I2044,2.5,1948.279569892473,150.72
30,0.0,0.0,0.0,M2I2045,2.5,2868.809523809524,612.67
31,0.0,0.0,0.0,M2I2047,2.5,2860.3030303030305,755.18
32,0.0,0.0,0.0,M2I2051,2.5,4145.098039215686,780.85
33,0.0,0.0,0.0,M2I2102,3.362285714285714,5998.719512195122,328.06
34,0.0,0.0,0.0,M2I2103,3.445714285714285,4642.64367816092,856.51
35,0.0,0.0,0.0,M2I2104,3.524375,4947.4,254.73
36,0.0,0.0,0.0,M2I2105,3.546875,4652.571428571428,55.05
37,0.0,0.0,0.0,M2I2106,2.5,4574.7,921.34
38,0.0,0.0,0.0,M2I2118,3.525,3986.8263473053894,-560.47
39,0.0,0.0,0.0,M2I2120,2.3200000000000003,4243.181818181818,-549.69
40,0.0,0.0,0.0,M2I2121,3.595,3936.804733727811,-1596.85
41,0.0,0.0,0.0,M2I2122,3.3649999999999998,3549.2561983471073,10.59
42,0.0,0.0,0.0,M2I2124,3.01,1576.7142857142858,-874.1
43,0.0,0.0,0.0,M2I2131,2.275294117647059,3960.4,-395.02
44,4000.0,0.0,3000.0,M2I2132,2.132941176470588,2870.9166666666665,-503.51
45,0.0,0.0,0.0,M2I2133,3.245,4823.289473684211,-1218.33
46,0.0,0.0,0.0,M2I2141,2.4072639999999996,4485.6,-608.16
47,1850.0,12950.0,1850.0,M2I2145,2.5,2108.2608695652175,1081.32
48,4160.0,0.0,4160.0,M2I2150,2.33,4778.367346938776,581.15
49,4160.0,0.0,4160.0,M2I2151,2.1,4260.0,22.05
50,0.0,0.0,0.0,M2V2011,2.5,3614.3333333333335,953.79
51,0.0,0.0,0.0,M2V2012,2.7,3464.4186046511627,797.78
