,Year,Field_Name
0,2019,118
1,2019,457
2,2019,293
3,2019,87
4,2019,88
5,2019,310
6,2019,117
7,2019,344
8,2019,86
9,2019,494
10,2019,328
11,2019,7
12,2019,499
13,2019,145
14,2019,220
15,2019,399
16,2019,470
17,2019,398
18,2019,111
19,2019,397
20,2019,200
21,2019,346
22,2019,92
23,2019,94
24,2019,503
25,2019,96
26,2019,400
27,2019,20
28,2019,13
29,2019,14
30,2019,151
31,2019,288
32,2019,159
33,2019,41
34,2019,40
35,2019,184
36,2019,467
37,2019,497
38,2019,404
39,2019,472
40,2019,474
41,2019,132
42,2019,222
43,2019,393
44,2019,99
45,2019,9
46,2019,199
47,2019,97
48,2019,119
49,2019,143
50,2019,72
51,2019,35
52,2019,407
53,2019,462
54,2019,502
55,2019,498
56,2019,146
57,2019,340
58,2019,1
59,2019,12
