,Field_Name,Latitude,Longitude,Latitude_decimal,Longitude_decimal
0,M6I2035,"S 19° 23' 25.00""","W 47° 27' 01.70""",-19.390277777777776,-47.450472222222224
1,M6I2036,"S 19° 24' 33.10""","W 47° 25' 10.90""",-19.40919444444444,-47.419694444444445
2,M6I2037,"S 19° 21' 54.70""","W 47° 27' 05.60""",-19.365194444444445,-47.45155555555556
3,M6V2027,"S 19° 19' 07.80""","W 47° 22' 36.80""",-19.318833333333334,-47.37688888888889
4,M6V2067,"S 19° 20' 12.20""","W 47° 26' 57.90""",-19.33672222222222,-47.449416666666664
5,M6V2083,"S 19° 20' 51.40""","W 47° 26' 22.10""",-19.34761111111111,-47.43947222222222
6,M6I2009,"S 17° 08' 54.10""","W 50° 18' 45.90""",-17.14836111111111,-50.312749999999994
7,M6I2010,"S 17° 09' 05.80""","W 50° 18' 14.90""",-17.15161111111111,-50.304138888888886
8,M6I2011,"S 17° 09' 24.80""","W 50° 18' 36.20""",-17.156888888888886,-50.31005555555555
9,M6I20175,"S 17° 08' 23.60""","W 50° 18' 48.40""",-17.139888888888887,-50.31344444444444
10,M6I2022,"S 17° 07' 54.20""","W 50° 19' 37.40""",-17.131722222222223,-50.32705555555556
11,M6I20134,"S 16° 45' 57.50""","W 48° 40' 05.60""",-16.76597222222222,-48.66822222222222
12,M6V2017,"S 16° 23' 09.00""","W 48° 42' 22.60""",-16.385833333333334,-48.70627777777778
13,M6V2018,"S 16° 21' 48.50""","W 48° 41' 22.50""",-16.363472222222224,-48.68958333333333
14,M6I2015,"S 19° 23' 10.90""","W 47° 11' 14.40""",-19.38636111111111,-47.18733333333333
15,M6I2016,"S 19° 22' 18.30""","W 47° 10' 48.30""",-19.371750000000002,-47.18008333333333
16,M6V2039,"S 19° 22' 00.90""","W 47° 10' 25.40""",-19.36691666666667,-47.17372222222222
17,M6V2040,"S 19° 22' 46.70""","W 47° 11' 07.30""",-19.379638888888888,-47.185361111111106
18,M7I2030,S 17° 29' 43.00'',W 46° 59' 22.00'',-17.49527777777778,-46.989444444444445
19,M7I2031,S 17° 30' 23.00'',W 46° 59' 29.00'',-17.50638888888889,-46.99138888888889
20,M7I2032,S 17° 29' 52.00'',W 46° 59' 45.00'',-17.497777777777777,-46.99583333333334
21,M7I2033,S 17° 30' 07.00'',W 46° 58' 58.00'',-17.501944444444444,-46.98277777777778
22,M7I2034,"S 17° 28' 48.00""","W 46° 59' 22.00""",-17.479999999999997,-46.989444444444445
23,M7I2027,S 17° 00' 32.00'',W 47° 16' 58.00'',-17.00888888888889,-47.282777777777774
24,M7I2028,S 17° 00' 07.00'',W 47° 17' 09.00'',-17.001944444444444,-47.28583333333333
25,M7I2029,S 17° 01' 19.00'',W 47° 16' 37.00'',-17.021944444444443,-47.276944444444446
26,M7V2036,S 17° 01' 17.00'',W 47° 15' 52.00'',-17.02138888888889,-47.26444444444444
27,M6V2074,"S 18° 35' 26.70""","W 48° 13' 15.20""",-18.59075,-48.220888888888894
28,M6V2075,"S 18° 34' 29.00""","W 48° 14' 03.40""",-18.57472222222222,-48.23427777777778
29,M6V2076,"S 18° 35' 51.10""","W 48° 13' 34.90""",-18.597527777777778,-48.22636111111111
30,M6V2077,"S 18° 34' 58.60""","W 48° 13' 41.40""",-18.582944444444443,-48.22816666666667
31,M6I2017,"S 19° 14' 57.20""","W 47° 14' 18.20""",-19.249222222222222,-47.23838888888889
32,M6I2050,"S 19° 12' 29.50""","W 47° 12' 08.60""",-19.208194444444445,-47.20238888888889
33,M6I2051,"S 19° 12' 17.40""","W 47° 11' 46.30""",-19.204833333333333,-47.196194444444444
34,M6V2042,"S 19° 14' 21.30""","W 47° 12' 44.80""",-19.239250000000002,-47.21244444444445
35,M6V2085,"S 19° 15' 01.00""","W 47° 11' 38.40""",-19.25027777777778,-47.193999999999996
36,M6V2086,"S 19° 15' 10.10""","W 47° 11' 16.20""",-19.252805555555554,-47.18783333333333
37,M6V2019,"S 15° 56' 22.50""","W 48° 51' 58.70""",-15.939583333333333,-48.866305555555556
38,M6V2020,"S 15° 56' 39.10""","W 48° 52' 20.70""",-15.944194444444445,-48.872416666666666
39,M6V2021,"S 15° 56' 11.70""","W 48° 50' 55.50""",-15.936583333333333,-48.84875
40,M6V2022,"S 15° 57' 00.40""","W 48° 51' 41.90""",-15.950111111111111,-48.86163888888889
41,M6V2023,"S 15° 56' 46.20""","W 48° 51' 15.60""",-15.946166666666667,-48.85433333333334
42,M6V2024,"S 15° 56' 03.40""","W 48° 52' 38.20""",-15.934277777777778,-48.87727777777778
43,M6V2005,"S 17° 21' 01.30""","W 52° 25' 44.40""",-17.350361111111113,-52.428999999999995
44,M6V2006,"S 17° 23' 28.20""","W 52° 25' 15.80""",-17.391166666666667,-52.421055555555554
45,M6I2049,"S 17° 57' 38.00""","W 47° 28' 18.20""",-17.960555555555555,-47.471722222222226
46,M6V2073,"S 17° 57' 30.80""","W 47° 28' 50.60""",-17.958555555555556,-47.48072222222223
47,M6I20151,"S 19° 28' 51.70""","W 47° 50' 01.30""",-19.481027777777776,-47.83369444444445
48,M6I2069,"S 19° 28' 18.50""","W 47° 50' 15.20""",-19.471805555555555,-47.83755555555556
49,M6V2034,"S 19° 28' 51.70""","W 47° 50' 01.30""",-19.481027777777776,-47.83369444444445
50,M6V2035,"S 19° 28' 26.30""","W 47° 49' 45.00""",-19.47397222222222,-47.82916666666667
51,M6I2052,"S 17° 43' 52.20""","W 51° 20' 53.90""",-17.731166666666667,-51.348305555555555
52,M6I2053,"S 17° 42' 27.60""","W 51° 21' 45.70""",-17.707666666666665,-51.36269444444444
53,M6I2054,"S 17° 41' 46.80""","W 51° 21' 47.10""",-17.696333333333335,-51.363083333333336
54,M6I2055,"S 17° 43' 40.1""","W 51° 21' 34.7""",-17.727805555555555,-51.35963888888889
55,M6I2056,"S 17° 43' 48.70""","W 51° 20' 11.20""",-17.730194444444443,-51.336444444444446
56,M6I2057,"S 17° 44' 17.30""","W 51° 19' 39.00""",-17.73813888888889,-51.3275
57,M6I2058,"S 17° 44' 11.90""","W 51° 20' 18.70""",-17.73663888888889,-51.33852777777778
58,M6I20167,"S 19° 32' 34.70""","W 47° 46' 45.20""",-19.542972222222225,-47.779222222222224
59,M6I20168,"S 19° 33' 42.00""","W 47° 47' 10.80""",-19.561666666666667,-47.78633333333333
60,M4V2034,"S 25° 16' 24.0""","W 50° 07' 46.0""",-25.273333333333333,-50.129444444444445
61,M4V2035,"S 25° 16' 04.0""","W 50° 06' 27.0""",-25.267777777777777,-50.1075
62,M2V2027,"S 15° 15' 31.22""","W 54° 21' 09.22""",-15.258672222222222,-54.352561111111115
63,M6I2092,"S 17° 51' 46.50""","W 47° 56' 25.90""",-17.862916666666667,-47.940527777777774
64,M6I2093,"S 17° 52' 07.10""","W 47° 56' 12.60""",-17.86863888888889,-47.93683333333333
65,M6I2094,"S 17° 52' 22.70""","W 47° 56' 22.40""",-17.872972222222224,-47.93955555555555
66,M6I2095,"S 17° 51' 10.60""","W 47° 55' 02.50""",-17.852944444444447,-47.917361111111106
67,M6I2096,"S 17° 51' 32.50""","W 47° 56' 13.30""",-17.85902777777778,-47.93702777777777
68,M6I2097,"S 17° 52' 22.70""","W 47° 56' 22.40""",-17.872972222222224,-47.93955555555555
69,M6I2098,"S 17° 51' 15.50""","W 47° 56' 02.20""",-17.854305555555555,-47.93394444444444
70,M6V2052,"S 17° 25' 25.90""","W 47° 48' 37.70""",-17.423861111111112,-47.81047222222222
71,M6I2038,"S 17° 24' 26.40""","W 50° 49' 38.20""",-17.40733333333333,-50.82727777777778
72,M6I2039,"S 17° 24' 06.40""","W 50° 48' 57.40""",-17.401777777777777,-50.81594444444444
73,M6I2040,"S 17° 23' 52.30""","W 50° 48' 37.70""",-17.397861111111112,-50.81047222222222
74,M6I2041,"S 17° 24' 12.00""",W 50° 50' 04.00,-17.403333333333332,-50.83444444444444
75,M6I2042,"S 17° 23' 01.00""","W 50° 49' 38.00""",-17.38361111111111,-50.827222222222225
76,M6I2043,"S 17° 23' 26.10""","W 50° 49' 12.30""",-17.390583333333332,-50.820083333333336
77,M6I2044,"S 17° 23' 01.00""","W 50° 49' 38.00""",-17.38361111111111,-50.827222222222225
78,M6I2045,"S 17° 23' 55.00""","W 50° 49' 31.00""",-17.398611111111112,-50.82527777777778
79,M6I2046,"S 17° 23' 45.30""","W 50° 50' 29.60""",-17.395916666666665,-50.84155555555556
80,M6I2047,"S 17° 23' 05.30""","W 50° 50' 30.90""",-17.384805555555555,-50.84191666666667
81,M6I2048,"S 17° 22' 34.00""","W 50° 50' 06.00""",-17.37611111111111,-50.835
82,M2I2036,"S 15° 23' 30.90""","W 54° 26' 59.40""",-15.391916666666667,-54.44983333333333
83,M2I2037,"S 15° 23' 00.10""","W 54° 26' 28.40""",-15.38336111111111,-54.441222222222216
84,M2I2038,"S 15° 22' 12.20""","W 54° 26' 14.70""",-15.370055555555556,-54.437416666666664
85,M2I2052,"S 15° 13' 34.77""","W 53° 58' 54.898""",-15.226325000000001,-53.98191611111111
