,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha
0,-220.35,14.0,2.5,3049.333333333333,0.0,205.5,0.0,48.0,0.0,48.0,0.0
1,3847.21,18.0,2.5,3575.055555555556,138.0,108.0,0.0,108.0,0.0,108.0,0.0
2,415.52,13.0,2.5,3116.2,138.0,60.0,0.0,60.0,0.0,60.0,0.0
3,724.51,9.0,2.5,7678.888888888889,151.8,18.0,32.05,90.0,2.6,96.0,0.0
4,502.1,9.0,2.5,7756.363636363636,128.8,18.0,32.05,90.0,2.6,90.0,0.0
5,539.27,10.0,2.5,8235.2,128.8,18.0,32.05,90.0,2.6,102.0,0.0
6,814.34,9.0,2.5,8178.0,151.8,24.0,32.05,120.0,2.6,0.0,138.0
7,549.46,10.0,2.5,7470.315789473684,128.8,18.0,32.05,90.0,2.6,0.0,102.0
8,730.99,17.0,2.5,8674.7,115.0,10.0,52.5,75.0,0.0,50.0,90.0
9,407.45,9.0,2.5,5015.5,0.0,67.5,67.5,0.0,0.0,0.0,0.0
10,314.58,15.0,2.5,11978.28125,0.0,37.125,62.425,0.0,119.6,0.0,0.0
11,1048.51,15.0,2.5,8771.363636363636,92.0,0.0,22.0,0.0,104.0,0.0,120.0
12,965.63,17.0,2.5,7753.2692307692305,174.8,0.0,22.0,0.0,104.0,0.0,120.0
13,1019.04,20.0,2.5,8737.058823529413,174.8,35.0,0.0,85.0,0.0,0.0,90.0
14,1034.53,19.0,2.5,8637.333333333334,174.8,0.0,22.0,0.0,104.0,0.0,120.0
15,1211.95,16.0,2.5,5898.333333333333,115.0,0.0,22.0,0.0,104.0,0.0,108.0
16,1238.38,23.0,2.5,6616.829268292683,92.0,0.0,33.0,0.0,156.0,0.0,90.0
17,1107.38,19.0,2.5,5581.979166666667,181.7,0.0,33.0,0.0,156.0,0.0,108.0
18,1084.94,19.0,2.5,5845.0,179.4,0.0,33.0,0.0,156.0,0.0,90.0
19,124.6,14.0,2.5,6613.846153846154,0.0,37.125,62.425,0.0,119.6,0.0,0.0
20,-653.39,15.0,2.5,6687.857142857143,0.0,0.0,16.5,0.0,78.0,0.0,0.0
21,920.28,13.0,2.5,4854.146341463415,92.0,0.0,25.3,0.0,119.6,0.0,132.0
22,922.04,13.0,2.5,4907.093023255814,184.0,0.0,25.3,0.0,119.6,0.0,132.0
23,-841.28,15.0,2.5,3373.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,90.0
24,791.93,10.0,2.5,4364.0,92.0,36.0,0.0,108.0,0.0,54.0,96.0
25,1052.09,16.0,2.5,7129.333333333333,92.0,36.0,0.0,108.0,0.0,54.0,216.0
26,280.04,18.0,2.5,7101.0,0.0,0.0,25.3,0.0,119.6,0.0,120.0
27,286.06,19.0,2.5,6639.666666666667,0.0,0.0,25.3,0.0,119.6,0.0,120.0
28,1077.33,15.0,2.5,6489.5,0.0,0.0,25.3,0.0,119.6,0.0,120.0
29,1258.23,21.0,2.5,8330.0,0.0,0.0,25.3,0.0,119.6,0.0,120.0
30,1109.83,16.0,2.5,6873.333333333333,0.0,0.0,25.3,0.0,119.6,0.0,120.0
31,1058.22,13.0,2.5,7185.0,0.0,0.0,25.3,0.0,119.6,0.0,120.0
32,-559.76,15.0,2.5,8398.99096068951,0.0,0.0,17.93,0.0,84.76,0.0,69.6
33,-469.93,15.0,2.5,8854.282990603295,0.0,0.0,25.52,0.0,120.64,0.0,117.6
34,-559.94,15.0,2.5,8654.46682839363,0.0,0.0,13.75,0.0,65.0,0.0,123.6
35,-576.1,15.0,2.5,7692.449156209434,0.0,0.0,15.84,0.0,74.88,0.0,121.8
36,167.25,15.0,2.5,9146.819955700876,87.4,0.0,20.7306,0.0,97.9992,0.0,105.0
37,-517.03,15.0,2.5,8609.218436873747,0.0,0.0,20.5183,0.0,96.9956,0.0,111.6
38,-492.96,15.0,2.5,8957.34126984127,0.0,0.0,23.87,0.0,112.84,0.0,82.8
39,94.93,15.0,2.5,9069.224137931034,87.4,0.0,13.2,0.0,62.4,0.0,84.0
40,147.03,15.0,2.5,9911.151736745886,87.4,0.0,13.2,0.0,62.4,0.0,145.99800000000002
41,-598.51,15.0,2.5,7140.826446280992,0.0,0.0,22.0,0.0,104.0,0.0,0.0
42,-563.55,15.0,2.5,8248.023952095808,0.0,0.0,22.0,0.0,104.0,0.0,0.0
43,890.3,16.0,2.5,9297.166666666666,161.0,0.0,25.3,0.0,119.6,0.0,120.0
44,40.85,15.0,2.5,8500.70588235294,69.0,0.0,25.3,0.0,119.6,0.0,120.0
45,866.61,15.0,2.5,4653.882352941177,184.0,0.0,17.05,0.0,80.6,0.0,102.0
46,1129.61,19.0,2.5,6022.033898305085,105.8,0.0,16.72,0.0,79.04,0.0,111.0
47,1070.73,21.0,2.5,7221.714285714285,92.0,0.0,16.72,0.0,79.04,0.0,117.0
48,950.98,21.0,2.5,2361.45447983398,184.0,0.0,25.3,0.0,119.6,0.0,0.0
49,1043.16,22.0,2.5,4633.441383036196,92.0,0.0,25.3,0.0,119.6,0.0,0.0
50,423.63,13.0,2.5,4860.881277660189,138.0,0.0,25.3,0.0,119.6,0.0,0.0
51,919.91,13.0,2.5,4996.134483998562,92.0,0.0,25.3,0.0,119.6,0.0,120.0
52,870.74,20.0,2.5,5461.153846153846,55.2,0.0,22.33,0.0,105.56,0.0,120.0
53,976.89,20.0,2.5,6461.785714285715,117.3,0.0,22.33,0.0,105.56,0.0,90.0
54,881.41,18.0,2.5,7190.566037735849,82.8,0.0,22.33,0.0,105.56,0.0,120.0
55,-577.94,15.0,2.5,7512.5,0.0,0.0,22.0,0.0,104.0,72.0,0.0
56,163.09,15.0,2.5,8578.942307692309,92.0,0.0,22.0,0.0,104.0,72.0,0.0
57,496.51,15.0,2.5,7708.988764044944,92.0,90.0,22.0,0.0,104.0,72.0,0.0
58,1102.21,20.0,2.5,8712.75,92.0,0.0,17.6,0.0,83.2,0.0,108.0
59,1018.44,16.0,2.5,8740.93023255814,92.0,0.0,17.6,0.0,83.2,0.0,102.0
60,1009.29,16.0,2.5,6153.333333333333,186.3,0.0,22.0,0.0,104.0,0.0,120.0
61,961.43,13.0,2.5,7102.875,183.08,0.0,24.2,0.0,114.4,0.0,108.0
62,1064.11,15.0,2.5,9339.53846153846,182.16,0.0,24.2,0.0,114.4,0.0,108.0
63,1038.79,15.0,2.5,9348.25,181.7,0.0,22.0,0.0,104.0,0.0,108.0
64,876.16,12.0,2.5,5494.769230769231,181.7,0.0,24.2,0.0,114.4,0.0,108.0
65,1058.31,15.0,2.5,8804.222222222223,92.0,0.0,24.2,0.0,114.4,0.0,90.0
66,592.87,8.0,2.5,8261.25,174.8,0.0,0.0,0.0,0.0,0.0,120.0
67,678.78,13.0,2.5,7737.6,174.8,0.0,0.0,0.0,0.0,0.0,120.0
68,662.85,11.0,2.5,8530.0,174.8,0.0,0.0,0.0,0.0,0.0,120.0
69,786.73,12.0,2.5,8271.533333333333,115.0,0.0,22.0,0.0,104.0,0.0,0.0
70,793.47,12.0,2.5,8546.5625,115.0,0.0,22.0,0.0,104.0,0.0,0.0
71,706.08,11.0,2.5,7845.057471264367,82.8,0.0,22.0,0.0,104.0,0.0,0.0
72,-704.27,21.0,2.5,4886.357142857143,0.0,0.0,0.44,0.0,2.08,0.0,0.0
73,1060.97,19.0,2.5,8715.555555555555,124.2,26.0,0.0,119.6,0.0,0.0,120.0
74,490.6,19.0,2.5,8331.743119266055,59.8,26.0,0.0,119.6,0.0,0.0,120.0
75,-85.83,18.0,2.5,8048.495575221239,59.8,26.0,0.0,119.6,0.0,0.0,120.0
76,-213.99,16.0,2.5,8352.192982456141,59.8,0.0,0.0,0.0,0.0,0.0,120.0
77,-534.9,17.0,2.5,8712.521739130434,0.0,26.0,0.0,119.6,0.0,0.0,120.0
78,-623.14,15.0,2.5,6688.068181818182,0.0,33.0,0.0,99.0,0.0,0.0,105.0
79,-59.9,15.0,2.5,7028.653846153846,0.0,116.0,0.0,78.0,0.0,90.0,0.0
