,yield per ha,CO2/ha,N_as_Urea_%,N_as_Nitrate_%,N_as_Ammonium_%,P_as_Phosphorus_%,P_as_P2O5_%,K_as_Potassium_%,K_as_K2O_%
1,3003.3333333333335,-220.35,0.0,16.0,0.0,16,0,16,0
11,3003.3333333333335,-220.35,0.0,45.0,0.0,0,0,0,0
21,3003.3333333333335,-220.35,0.0,45.0,0.0,0,0,0,0
31,2327.722222222222,3847.21,0.0,16.0,0.0,16,0,16,0
41,2327.722222222222,3847.21,0.0,20.0,0.0,20,0,20,0
51,2327.722222222222,3847.21,46.0,0.0,0.0,0,0,0,0
61,3051.8,415.52,0.0,20.0,0.0,20,0,20,0
71,3051.8,415.52,46.0,0.0,0.0,0,0,0,0
81,2428.0526315789475,-936.41,0.0,0.0,11.0,0,52,0,0
91,2428.0526315789475,-936.41,0.0,0.0,0.0,0,0,0,60
101,4935.7,824.77,46.0,0.0,0.0,0,0,0,0
111,4935.7,824.77,46.0,0.0,0.0,0,0,0,0
121,4811.1,-804.41,0.0,0.0,11.0,0,52,0,0
131,4811.1,-804.41,0.0,0.0,0.0,0,0,0,60
141,3732.777777777778,724.51,0.0,0.0,0.0,0,0,60,0
151,3732.777777777778,724.51,0.0,8.0,0.0,40,0,0,0
161,3732.777777777778,724.51,0.0,0.0,21.0,0,0,0,0
171,3732.777777777778,724.51,0.0,0.0,11.0,0,52,0,0
181,3732.777777777778,724.51,46.0,0.0,0.0,0,0,0,0
191,3732.777777777778,724.51,46.0,0.0,0.0,0,0,0,0
201,3732.777777777778,724.51,46.0,0.0,0.0,0,0,0,0
211,3919.2727272727275,502.1,0.0,0.0,0.0,0,0,60,0
221,3919.2727272727275,502.1,0.0,8.0,0.0,40,0,0,0
231,3919.2727272727275,502.1,0.0,0.0,21.0,0,0,0,0
241,3919.2727272727275,502.1,0.0,0.0,11.0,0,52,0,0
251,3919.2727272727275,502.1,46.0,0.0,0.0,0,0,0,0
261,3919.2727272727275,502.1,46.0,0.0,0.0,0,0,0,0
271,4142.4,539.27,0.0,0.0,0.0,0,0,60,0
281,4142.4,539.27,0.0,8.0,0.0,40,0,0,0
291,4142.4,539.27,0.0,0.0,21.0,0,0,0,0
301,4142.4,539.27,0.0,0.0,11.0,0,52,0,0
311,4142.4,539.27,46.0,0.0,0.0,0,0,0,0
321,4142.4,539.27,46.0,0.0,0.0,0,0,0,0
331,4123.2,814.34,0.0,8.0,0.0,40,0,0,0
341,4123.2,814.34,0.0,0.0,21.0,0,0,0,0
351,4123.2,814.34,0.0,0.0,11.0,0,52,0,0
361,4123.2,814.34,0.0,0.0,0.0,0,0,0,60
371,4123.2,814.34,46.0,0.0,0.0,0,0,0,0
381,4123.2,814.34,46.0,0.0,0.0,0,0,0,0
391,4123.2,814.34,46.0,0.0,0.0,0,0,0,0
401,3857.684210526316,549.46,0.0,8.0,0.0,40,0,0,0
411,3857.684210526316,549.46,0.0,0.0,21.0,0,0,0,0
421,3857.684210526316,549.46,0.0,0.0,11.0,0,52,0,0
431,3857.684210526316,549.46,0.0,0.0,0.0,0,0,0,60
441,3857.684210526316,549.46,46.0,0.0,0.0,0,0,0,0
451,3857.684210526316,549.46,46.0,0.0,0.0,0,0,0,0
461,4164.7,730.99,0.0,4.0,0.0,30,0,20,0
471,4164.7,730.99,0.0,0.0,21.0,0,0,0,0
481,4164.7,730.99,0.0,0.0,0.0,0,0,0,60
491,4164.7,730.99,46.0,0.0,0.0,0,0,0,0
501,4096.560846560847,-246.74,46.0,0.0,0.0,0,0,0,0
511,4096.560846560847,-246.74,46.0,0.0,0.0,0,0,0,0
521,4096.560846560847,-246.74,46.0,0.0,0.0,0,0,0,0
531,3890.719696969697,219.02,0.0,0.0,0.0,0,0,0,60
541,3890.719696969697,219.02,46.0,0.0,0.0,0,0,0,0
551,3890.719696969697,219.02,46.0,0.0,0.0,0,0,0,0
561,2475.25,407.45,0.0,13.5,13.5,0,0,0,0
571,6446.71875,314.58,0.0,13.5,13.5,0,0,0,0
581,6446.71875,314.58,0.0,0.0,11.0,0,52,0,0
591,5349.777777777777,860.73,0.0,13.5,13.5,0,0,0,0
601,5162.888888888889,799.98,0.0,13.5,13.5,0,0,0,0
611,3741.0227272727275,1048.51,0.0,0.0,11.0,0,52,0,0
621,3741.0227272727275,1048.51,0.0,0.0,0.0,0,0,0,60
631,3741.0227272727275,1048.51,46.0,0.0,0.0,0,0,0,0
641,2910.576923076923,965.63,0.0,0.0,11.0,0,52,0,0
651,2910.576923076923,965.63,0.0,0.0,0.0,0,0,0,60
661,2910.576923076923,965.63,46.0,0.0,0.0,0,0,0,0
671,2910.576923076923,965.63,46.0,0.0,0.0,0,0,0,0
681,3487.9411764705883,1019.04,0.0,14.0,0.0,34,0,0,0
691,3487.9411764705883,1019.04,0.0,0.0,0.0,0,0,0,60
701,3487.9411764705883,1019.04,46.0,0.0,0.0,0,0,0,0
711,3487.9411764705883,1019.04,46.0,0.0,0.0,0,0,0,0
721,3452.3333333333335,1034.53,0.0,0.0,11.0,0,52,0,0
731,3452.3333333333335,1034.53,0.0,0.0,0.0,0,0,0,60
741,3452.3333333333335,1034.53,46.0,0.0,0.0,0,0,0,0
751,3452.3333333333335,1034.53,46.0,0.0,0.0,0,0,0,0
761,3098.3333333333335,1211.95,0.0,0.0,11.0,0,52,0,0
771,3098.3333333333335,1211.95,0.0,0.0,0.0,0,0,0,60
781,3098.3333333333335,1211.95,46.0,0.0,0.0,0,0,0,0
791,3098.3333333333335,1211.95,46.0,0.0,0.0,0,0,0,0
801,3489.0243902439024,1238.38,0.0,0.0,11.0,0,52,0,0
811,3489.0243902439024,1238.38,0.0,0.0,0.0,0,0,0,60
821,3489.0243902439024,1238.38,46.0,0.0,0.0,0,0,0,0
831,2788.2291666666665,1107.38,0.0,0.0,11.0,0,52,0,0
841,2788.2291666666665,1107.38,0.0,0.0,0.0,0,0,0,60
851,2788.2291666666665,1107.38,46.0,0.0,0.0,0,0,0,0
861,2788.2291666666665,1107.38,46.0,0.0,0.0,0,0,0,0
871,3055.8,1084.94,0.0,0.0,11.0,0,52,0,0
881,3055.8,1084.94,0.0,0.0,0.0,0,0,0,60
891,3055.8,1084.94,46.0,0.0,0.0,0,0,0,0
901,3055.8,1084.94,46.0,0.0,0.0,0,0,0,0
911,4349.313725490196,1426.97,0.0,0.0,11.0,0,52,0,0
921,4349.313725490196,1426.97,0.0,0.0,0.0,0,0,0,60
931,4349.313725490196,1426.97,46.0,0.0,0.0,0,0,0,0
941,4349.313725490196,1426.97,46.0,0.0,0.0,0,0,0,0
951,5116.571428571428,-1118.18,0.0,10.0,0.0,33,0,0,0
961,3283.1944444444443,-1069.08,0.0,10.0,0.0,33,0,0,0
971,5462.833333333333,-611.26,0.0,10.0,0.0,33,0,0,0
981,5368.96,-562.59,0.0,10.0,0.0,33,0,0,0
991,3305.769230769231,124.6,0.0,13.5,13.5,0,0,0,0
