,Field_Name,CO2_kg_per_Ha,Total_Water_Applied_mm,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha
0,M6I2035,-220.35,350.0,14.0,2.5,3003.3333333333335,0.0,205.5,0.0,48.0,0.0,48.0,0.0
1,M6I2036,3847.21,350.0,18.0,2.5,2327.722222222222,138.0,108.0,0.0,108.0,0.0,108.0,0.0
2,M6I2037,415.52,350.0,13.0,2.5,3051.8,138.0,60.0,0.0,60.0,0.0,60.0,0.0
3,M6I2009,724.51,350.0,9.0,2.5,3732.777777777778,151.8,18.0,32.05,90.0,2.6,96.0,0.0
4,M6I2010,502.1,350.0,9.0,2.5,3919.2727272727275,128.8,18.0,32.05,90.0,2.6,90.0,0.0
5,M6I2011,539.27,350.0,10.0,2.5,4142.4,128.8,18.0,32.05,90.0,2.6,102.0,0.0
6,M6I20175,814.34,350.0,9.0,2.5,4123.2,151.8,24.0,32.05,120.0,2.6,0.0,138.0
7,M6I2022,549.46,350.0,10.0,2.5,3857.684210526316,128.8,18.0,32.05,90.0,2.6,0.0,102.0
8,M6I20134,730.99,350.0,17.0,2.5,4164.7,115.0,10.0,52.5,75.0,0.0,50.0,90.0
9,M6V2017,-246.74,450.0,14.0,3.69,4096.560846560847,170.2,0.0,0.0,0.0,0.0,0.0,0.0
10,M6V2018,219.02,450.0,20.0,3.38,3890.719696969697,87.4,0.0,0.0,0.0,0.0,0.0,90.0
11,M6I2015,407.45,350.0,9.0,2.5,2475.25,0.0,67.5,67.5,0.0,0.0,0.0,0.0
12,M6I2016,314.58,350.0,15.0,2.5,6446.71875,0.0,37.125,62.425,0.0,119.6,0.0,0.0
13,M6V2039,860.73,450.0,18.0,2.6814285714285715,5349.777777777777,0.0,37.125,37.125,0.0,0.0,0.0,0.0
