,N_total_kg_per_Ha,P_total_kg_per_Ha,K_total_kg_per_Ha,Enter Latitude,Enter Longitude,Enter Avg Annual Temp (℃) - Optional,Enter Soil Organic Matter,Enter Soil pH,Yield_kg_per_ha,Enter # of Applications (Doses),Enter Pumping Depth (m),Enter Pumping Distance (m),Enter Total Water Applied,CO2_kg_per_Ha,Yield_to_CO2_ratio
0,184.0,0.0,0.0,25.700292,-108.660012,25.5,1.22,7.52,2639.649614576034,8,3,6,600,3699.18,0.7135769588330478
1,184.0,0.0,0.0,25.700359,-108.661938,25.5,1.22,7.52,1690.5851063829787,8,0,0,750,3809.2,0.44381631481229095
2,184.0,0.0,0.0,25.676046,-108.665099,25.5,1.11,6.01,4600.105333333334,8,3,6,600,3866.82,1.1896352386026072
3,184.0,0.0,0.0,25.672436,-108.665614,25.5,1.11,6.01,4032.7917098445596,8,0,0,750,3731.24,1.0808180952832194
4,184.0,0.0,0.0,25.668145,-108.676987,25.5,1.0,7.0,4557.484750772538,8,3,6,600,3872.23,1.1769664381435343
5,184.0,0.0,0.0,25.670735,-108.672996,25.5,1.0,7.0,3770.7599196383726,8,0,0,750,3476.29,1.084708099622981
6,272.5,67.5,67.5,25.738081,-108.985291,28.0,1.3,6.4,2294.228679245283,6,0,0,750,3771.25,0.6083470147153551
7,138.0,48.0,0.0,25.856224,-108.916769,24.7,1.3,6.5,1991.6222222222225,6,3,0,750,3027.64,0.6578134197666243
8,182.4,0.0,0.0,24.668619,-107.872975,25.2,0.8,7.5,2256.2325,6,6,5,500,2582.88,0.8735336136405872
9,0.0,0.0,0.0,25.886737,-108.816776,25.5,1.01,6.32,3185.070892410342,7,6,5,500,2750.73,1.1579002273615884
10,202.4,16.0,25.0,25.877749,-108.815689,25.5,1.81,6.17,1027.8,7,0,0,750,2760.13,0.37237376500382224
11,202.4,16.0,25.0,25.877749,-108.815689,25.5,1.81,6.17,790.5333333333333,7,0,0,750,2757.15,0.28672119156858833
12,0.0,0.0,0.0,24.847031,-107.658787,20.0,1.2,6.5,2065.3125,6,0,0,750,2206.79,0.9358899124973378
13,0.0,0.0,0.0,24.585454,-107.550747,25.2,0.9,7.1,3675.3770588235298,6,0,0,750,4958.1,0.7412874001781992
14,253.0,0.0,0.0,25.488287,-108.424736,24.7,6.2,8.0,3408.0666666666666,8,3,5,500,8143.24,0.41851482538481816
15,0.0,0.0,0.0,24.588085,-107.538029,25.2,0.9,7.1,2943.269230769231,6,0,0,750,4938.6,0.5959723870670293
16,0.0,0.0,0.0,24.584483,-107.540447,25.2,0.9,7.1,2923.257575757576,6,0,0,750,4938.5,0.5919322822228563
17,0.0,0.0,0.0,24.555566,-107.535545,25.2,0.9,7.1,1769.5217391304348,6,0,0,750,4935.24,0.3585482649537682
18,0.0,0.0,0.0,24.668881,-107.810504,25.2,1.16,7.6,2993.43652173913,6,0,0,750,2724.56,1.0986862178623815
19,184.0,0.0,0.0,25.860225,-108.823803,25.5,0.82,6.11,2390.9777777777776,6,0,0,750,3699.98,0.6462137032572548
20,184.0,0.0,0.0,25.856678,-108.832598,25.5,0.98,6.2,2996.144157814871,5,0,0,750,3683.98,0.813290017267974
21,184.0,0.0,0.0,25.889757,-108.827362,25.5,1.14,6.98,1180.2423603793466,8,0,0,750,3731.28,0.31631031720464464
22,161.0,0.0,0.0,25.662225,-108.676887,25.5,1.15,7.1,5225.11,7,3,6,600,3568.62,1.4641822329079588
23,176.0,0.0,0.0,25.693275,-109.058776,28.0,1.58,6.9,1610.752,6,0,0,750,4316.42,0.3731685053817747
24,0.0,0.0,0.0,24.859811,-107.6526411,20.0,1.2,6.5,2320.9565217391305,6,0,0,750,2197.74,1.0560651040337485
25,0.0,0.0,0.0,24.714625,-107.830296,25.2,1.05,6.5,3374.108125,6,0,0,750,2761.57,1.2218079299094355
26,0.0,0.0,0.0,24.633236,-107.533507,20.0,1.04,6.77,6757.285714285715,6,4,4,500,5775.52,1.1699874148623353
27,0.0,0.0,0.0,24.589056,-107.539946,25.2,0.9,7.1,2259.1111111111113,6,0,0,750,4941.46,0.4571748250741909
