,Harvest_Year,Field_Name,Latitude,Longitude,Crop_Area_ha,Total_Wet_Mass_Harvested_kg,Dry_Finished_Yield_Mass_kg,Soil_Organic_Matter,Soil_Drainage,Soil_pH,Fertilizer_Type,Application_Rate_Unit_kg/ha,Application_Method,N_as_Urea_%,N_as_Nitrate_%,N_as_Ammonium_%,P_as_Phosphorus_%,P_as_P2O5_%,K_as_Potassium_%,K_as_K2O_%,Crop_Protection_Application_Doses,Machine,Num_Passes,Total_Water_Applied_mm,result,value,unit
0,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,300,Incorporate,0,16,0,16,0,16,0,14,herbicide spraying,15,350,emissions_total,-13221.26,kgCO2e
1,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,300,Incorporate,0,16,0,16,0,16,0,14,herbicide spraying,15,350,emissions_per_area,-220.35,kgCO2e/ha
2,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,300,Incorporate,0,16,0,16,0,16,0,14,herbicide spraying,15,350,emissions_per_product,-0.07,kgCO2e/kg
3,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,300,Incorporate,0,16,0,16,0,16,0,14,herbicide spraying,15,350,soil_organic_carbon,1.45,%
4,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,300,Incorporate,0,16,0,16,0,16,0,14,herbicide spraying,15,350,machinery_fuel_usage,1862.2,litre
5,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,300,Incorporate,0,16,0,16,0,16,0,14,pneumatic drill,3,350,emissions_total,-13221.26,kgCO2e
6,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,300,Incorporate,0,16,0,16,0,16,0,14,pneumatic drill,3,350,emissions_per_area,-220.35,kgCO2e/ha
7,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,300,Incorporate,0,16,0,16,0,16,0,14,pneumatic drill,3,350,emissions_per_product,-0.07,kgCO2e/kg
8,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,300,Incorporate,0,16,0,16,0,16,0,14,pneumatic drill,3,350,soil_organic_carbon,1.45,%
9,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,300,Incorporate,0,16,0,16,0,16,0,14,pneumatic drill,3,350,machinery_fuel_usage,1862.2,litre
10,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,200,Incorporate,0,45,0,0,0,0,0,14,herbicide spraying,15,350,emissions_total,-13221.26,kgCO2e
11,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,200,Incorporate,0,45,0,0,0,0,0,14,herbicide spraying,15,350,emissions_per_area,-220.35,kgCO2e/ha
12,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,200,Incorporate,0,45,0,0,0,0,0,14,herbicide spraying,15,350,emissions_per_product,-0.07,kgCO2e/kg
13,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,200,Incorporate,0,45,0,0,0,0,0,14,herbicide spraying,15,350,soil_organic_carbon,1.45,%
14,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,200,Incorporate,0,45,0,0,0,0,0,14,herbicide spraying,15,350,machinery_fuel_usage,1862.2,litre
15,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,200,Incorporate,0,45,0,0,0,0,0,14,pneumatic drill,3,350,emissions_total,-13221.26,kgCO2e
16,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,200,Incorporate,0,45,0,0,0,0,0,14,pneumatic drill,3,350,emissions_per_area,-220.35,kgCO2e/ha
17,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,200,Incorporate,0,45,0,0,0,0,0,14,pneumatic drill,3,350,emissions_per_product,-0.07,kgCO2e/kg
18,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,200,Incorporate,0,45,0,0,0,0,0,14,pneumatic drill,3,350,soil_organic_carbon,1.45,%
19,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,200,Incorporate,0,45,0,0,0,0,0,14,pneumatic drill,3,350,machinery_fuel_usage,1862.2,litre
20,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,150,Incorporate,0,45,0,0,0,0,0,14,herbicide spraying,15,350,emissions_total,-13221.26,kgCO2e
21,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,150,Incorporate,0,45,0,0,0,0,0,14,herbicide spraying,15,350,emissions_per_area,-220.35,kgCO2e/ha
22,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,150,Incorporate,0,45,0,0,0,0,0,14,herbicide spraying,15,350,emissions_per_product,-0.07,kgCO2e/kg
23,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,150,Incorporate,0,45,0,0,0,0,0,14,herbicide spraying,15,350,soil_organic_carbon,1.45,%
24,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,150,Incorporate,0,45,0,0,0,0,0,14,herbicide spraying,15,350,machinery_fuel_usage,1862.2,litre
25,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,150,Incorporate,0,45,0,0,0,0,0,14,pneumatic drill,3,350,emissions_total,-13221.26,kgCO2e
26,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,150,Incorporate,0,45,0,0,0,0,0,14,pneumatic drill,3,350,emissions_per_area,-220.35,kgCO2e/ha
27,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,150,Incorporate,0,45,0,0,0,0,0,14,pneumatic drill,3,350,emissions_per_product,-0.07,kgCO2e/kg
28,2020,M6I2035,"S 19Â° 23' 25,00""","W 47Â° 27' 01,70""",60,182960,180200,2.5,good,5.5,Compose your own NPK,150,Incorporate,0,45,0,0,0,0,0,14,pneumatic drill,3,350,soil_organic_carbon,1.45,%
