,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_total_kg_per_ha,P_total_kg_per_ha,K_total_kg_per_ha
0,-246.74,14.0,3.69,7586.243386243387,170.2,0.0,0.0
1,219.02,20.0,3.38,7204.924242424243,179.4,0.0,90.0
2,860.73,18.0,2.6814285714285715,11941.555555555557,148.5,0.0,0.0
3,799.98,17.0,2.6814285714285715,10673.777777777776,148.5,0.0,0.0
4,1426.97,25.0,2.3162500000000006,6964.509803921569,211.88,114.4,120.0
5,-1118.18,15.0,3.320000000000001,11586.42857142857,23.0,75.9,0.0
6,-1069.08,15.0,3.05,6791.805555555556,23.0,75.9,0.0
7,-611.26,15.0,2.620000000000001,10860.333333333334,26.0,85.8,0.0
8,-562.59,15.0,2.5842857142857145,11823.36,23.5,77.55,0.0
9,827.28,10.0,2.575555555555556,13583.214285714286,148.5,0.0,0.0
10,-37.64,13.0,2.5,7345.714285714285,74.25,0.0,0.0
11,58.13,15.0,2.47,8371.777777777777,74.25,0.0,0.0
12,456.65,20.0,2.5,5388.190476190476,144.82999999999998,1.56,90.0
13,585.01,18.0,2.3,6132.5,144.5,0.0,90.0
14,158.27,17.0,2.7,2694.6153846153848,144.5,0.0,90.0
15,312.2,18.0,2.2,3626.0416666666665,114.0,0.0,90.0
16,821.49,21.0,1.9,2272.0689655172414,144.5,0.0,90.0
17,550.49,15.0,2.2,4642.5,144.5,0.0,90.0
18,647.47,20.0,2.68,9017.383669885863,172.77999999999997,124.88000000000001,139.8
19,-370.11,14.0,2.68,7787.478108581436,71.36,123.84,139.8
20,575.44,16.0,3.03695652173913,8377.307692307691,198.0,105.0,176.0
21,917.31,14.0,2.4,9935.121951219511,184.0,0.0,0.0
22,152.32,15.0,2.5,6537.954545454545,117.3,119.6,0.0
23,3214.68,16.0,2.5,3149.894736842105,386.45810000000006,337.3292,162.0
24,-82.91,9.0,2.86,5548.832116788321,219.7,0.0,0.0
25,813.39,23.0,2.5,8683.153153153153,165.60000000000002,0.0,0.0
26,1106.38,17.0,2.5,8185.222222222223,206.0,104.0,120.0
27,1255.56,25.0,2.5,8833.76,202.49999999999997,109.2,120.0
28,914.34,23.0,2.5,7752.909090909091,179.39999999999998,0.0,0.0
29,820.02,21.0,2.5,6075.0,179.39999999999998,0.0,0.0
30,689.96,15.0,2.5,5848.510638297872,179.39999999999998,0.0,0.0
31,-194.42,18.0,2.5,8117.5,59.8,0.0,0.0
32,1248.87,26.0,2.5,7974.7692307692305,202.49999999999997,109.2,120.0
33,-493.88,13.0,4.5,8476.666666666666,201.6,83.2,120.0
34,1135.37,16.0,2.5,11399.537037037036,200.5,78.0,120.0
35,-1146.97,23.0,4.5,6534.5,114.0,104.0,120.0
36,-665.73,15.0,4.8,9130.47619047619,200.5,78.0,120.0
37,-1427.07,19.0,5.3,8814.416666666666,108.5,78.0,108.0
38,-1074.05,28.0,4.6,7668.5,115.1,109.2,120.0
39,1056.86,20.0,2.5,2369.875,212.79999999999998,114.4,132.0
40,-1373.27,14.0,4.6,6683.4,116.76,104.0,132.0
41,222.16,13.0,3.5487804878048776,6931.454545454545,207.38,104.0,126.0
42,-510.9,16.0,4.5285714285714285,4167.25,209.68,104.0,120.0
43,-811.34,16.0,5.0,6390.0,207.38,104.0,126.0
44,-1247.12,17.0,4.6,9002.558139534884,116.3,104.0,120.0
45,-519.56,19.0,4.8,8598.533333333333,208.3,104.0,132.0
46,-577.56,14.0,5.5,4279.2307692307695,214.17999999999998,114.4,120.0
47,561.83,24.0,3.4,6122.857142857143,210.5,114.4,122.4
48,181.96,17.0,2.5,7146.2,108.94239999999999,5.2,90.0
49,-1724.9,9.0,4.05,5607.727272727273,97.83,36.56,115.0
50,-1769.89,12.0,4.2,5769.565217391304,97.83,36.56,115.0
51,1628.68,13.0,0.15,5491.818181818182,224.5,87.5,132.5
52,394.27,11.0,1.6800000000000002,4162.266666666666,224.5,87.5,132.5
53,-325.26,23.0,2.5,9476.136363636362,52.65,2.6,50.0
54,198.65,20.0,2.16,8895.888888888889,152.25,141.2,95.0
55,-917.13,10.0,4.5,3853.25,184.0,0.0,0.0
56,-900.04,11.0,3.61,4908.617021276596,227.0,87.5,135.0
57,657.14,14.0,2.5,9572.19512195122,165.60000000000002,0.0,0.0
58,194.58,15.0,2.47,8051.103448275862,170.2,0.0,0.0
59,985.51,15.0,2.5,11175.0,189.06,0.0,81.0
60,363.12,14.0,2.8,1808.9655172413795,184.0,0.0,0.0
61,-162.48,10.0,3.4,1880.3703703703704,184.0,0.0,0.0
62,1640.06,12.0,0.95,3533.032258064516,184.0,0.0,0.0
63,295.28,24.0,3.5,9614.21568627451,184.0,0.0,0.0
64,218.81,24.0,3.65,10724.651162790698,184.0,0.0,0.0
65,996.19,15.0,2.726315789473684,7468.25,216.2,0.0,132.0
66,-476.89,15.0,4.366666666666666,8269.0,188.6,0.0,130.8
67,-152.04,14.0,4.057142857142857,7913.676470588235,202.4,0.0,105.0
68,-204.65,11.0,4.1875,7487.333333333333,212.98,0.0,130.8
69,-181.11,21.0,2.9,8008.279569892473,92.0,0.0,0.0
70,-8.44,18.0,4.1,9278.87323943662,209.5,98.8,78.0
71,304.35,17.0,3.6,8073.271889400922,209.5,98.8,78.0
72,795.7,10.0,2.5,8596.428571428572,188.6,0.0,78.0
73,122.23,12.0,3.4,7139.943342776204,188.6,0.0,78.0
74,247.1,10.0,3.2,7688.983050847458,188.6,0.0,78.0
75,-380.29,9.0,4.0,6271.578947368421,188.6,0.0,156.0
76,763.64,8.0,2.5,7861.712439418417,188.6,0.0,156.0
77,742.03,10.0,2.5,6892.428198433421,188.6,0.0,78.0
78,-271.76,17.0,2.5,4977.743902439024,62.1,0.0,60.0
79,-358.9,24.0,3.911538461538461,8106.282051282052,157.88,119.68,120.0
80,973.03,25.0,3.124137931034483,6564.48717948718,236.29999999999998,120.72000000000001,120.0
81,-551.39,24.0,3.832,6561.538461538462,134.88,119.68,120.0
82,748.4,24.0,2.007894736842105,7302.051282051282,125.68,119.68,120.0
83,649.19,15.0,2.63,4640.0,184.0,0.0,120.0
84,674.23,15.0,2.6480952380952383,5855.384615384615,184.0,0.0,120.0
85,-1225.34,9.0,3.896808510638298,4618.734177215189,92.0,0.0,120.0
86,-1563.34,8.0,3.537352933705884,7924.310344827586,0.0,0.0,120.0
87,56.49,15.0,2.9929411764705884,7826.333333333333,138.0,0.0,120.0
88,1184.99,9.0,2.11,7948.108108108108,202.3,130.0,120.0
89,-208.48,15.0,2.11,11160.81081081081,26.4,242.4,0.0
90,233.08,15.0,1.98,9598.395061728395,108.5,130.0,120.0
91,44.18,15.0,1.98,11270.487804878048,27.5,130.0,120.0
92,-558.69,10.0,4.8,11369.0,211.6,0.0,162.0
93,-689.42,14.0,4.0,10479.545454545454,128.8,0.0,165.0
94,-679.33,12.0,3.3,9809.285714285714,82.8,0.0,0.0
95,-624.06,8.0,3.41,5019.090909090909,119.6,0.0,168.0
96,495.01,15.0,2.91,6495.0,188.6,0.0,0.0
97,953.79,21.0,2.5,8188.333333333333,186.3,0.0,0.0
98,797.78,20.0,2.7,8609.418604651162,186.3,0.0,0.0
99,786.2,23.0,2.5,7827.023809523809,165.60000000000002,0.0,0.0
100,205.85,11.0,3.405,12768.0,148.5,0.0,0.0
101,72.04,14.0,3.5666666666666678,10385.2,148.5,0.0,0.0
102,363.87,10.0,3.0591666666666666,10293.333333333334,148.5,0.0,0.0
103,-62.67,19.0,2.5,8847.784431137725,83.1,0.0,21.0
104,1275.25,18.0,1.975555555555556,6968.59375,185.38,0.0,99.6
105,562.77,18.0,1.95,8166.7692307692305,120.916,126.0,72.0
106,-83.87,14.0,2.53,8788.2,84.64,0.0,0.0
107,266.88,21.0,2.672,6693.333333333333,100.1,52.0,120.0
108,-90.65,21.0,2.973170731707317,4595.641025641025,93.1,57.2,138.0
