,Field_Name,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_total_kg_per_ha,P_total_kg_per_ha,K_total_kg_per_ha
0,M6I2035,-220.35,14.0,2.5,3049.333333333333,205.5,48.0,48.0
1,M6I2036,3847.21,18.0,2.5,3575.055555555556,492.0,216.0,216.0
2,M6I2037,415.52,13.0,2.5,3116.2,198.0,60.0,60.0
3,M6I2009,724.51,9.0,2.5,7678.888888888889,202.4,95.2,96.0
4,M6I2010,502.1,9.0,2.5,7756.363636363636,179.4,95.2,90.0
5,M6I2011,539.27,10.0,2.5,8235.2,179.4,95.2,102.0
6,M6I20175,814.34,9.0,2.5,8178.0,207.85000000000002,122.6,138.0
7,M6I2022,549.46,10.0,2.5,7470.315789473684,179.95000000000002,97.8,102.0
8,M6I20134,730.99,17.0,2.5,8674.7,177.5,75.0,140.0
9,M6I2015,407.45,9.0,2.5,5015.5,135.0,0.0,0.0
10,M6I2016,314.58,15.0,2.5,11978.28125,99.55,119.6,0.0
11,M7I2030,1048.51,15.0,2.5,8771.363636363636,206.0,104.0,120.0
12,M7I2031,965.63,17.0,2.5,7753.2692307692305,196.8,104.0,120.0
13,M7I2032,1019.04,20.0,2.5,8737.058823529413,209.8,85.0,90.0
14,M7I2033,1034.53,19.0,2.5,8637.333333333334,196.8,104.0,120.0
15,M7I2034,1211.95,16.0,2.5,5898.333333333333,229.0,104.0,108.0
16,M7I2027,1238.38,23.0,2.5,6616.829268292683,217.0,156.0,90.0
17,M7I2028,1107.38,19.0,2.5,5581.979166666667,214.7,156.0,108.0
18,M7I2029,1084.94,19.0,2.5,5845.0,212.4,156.0,90.0
19,M6I2017,124.6,14.0,2.5,6613.846153846154,99.55,119.6,0.0
20,M6I2049,-653.39,15.0,2.5,6687.857142857143,16.5,78.0,0.0
21,M6I20151,920.28,13.0,2.5,4854.146341463415,209.3,119.6,132.0
22,M6I2069,922.04,13.0,2.5,4907.093023255814,209.3,119.6,132.0
23,M6I2052,-841.28,15.0,2.5,3373.333333333333,0.0,0.0,90.0
24,M6I20167,791.93,10.0,2.5,4364.0,220.0,108.0,150.0
