,N_as_Nitrate_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,K_as_Potassium_kg_per_Ha,Field_Name,Soil_Organic_Matter,Yield_Mass_kg_Per_Ha,CO2_kg_Emissions_per_Ha,Total_Water_Applied_mm,Crop_Protection_Application_Doses
0,6000.0,0.0,6000.0,M2I2001,2.5,4786.9,349.85,350,14
1,6600.0,0.0,6600.0,M2I2002,2.5,5234.476190476191,488.41,350,18
2,6000.0,0.0,6000.0,M2I2003,2.5,4358.380952380952,462.26,350,20
3,0.0,0.0,0.0,M2I2005,2.5,3400.4,409.14,350,10
4,0.0,0.0,0.0,M2I2006,2.5,3033.0,261.38,350,15
5,0.0,0.0,0.0,M2I2007,2.5,3077.6296296296296,359.71,350,10
6,2600.0,11960.0,0.0,M2I2008,2.5,4960.0,1060.97,350,19
7,2600.0,11960.0,0.0,M2I2009,2.5,4477.614678899083,490.6,350,19
8,2600.0,11960.0,0.0,M2I2010,2.5,4445.221238938053,-85.83,350,18
9,0.0,0.0,0.0,M2I2011,2.5,4844.298245614035,-213.99,350,16
10,2600.0,11960.0,0.0,M2I2012,2.5,5228.347826086957,-534.9,350,17
11,0.0,0.0,0.0,M2I2013,2.5,4309.304347826087,-553.55,350,10
12,0.0,0.0,0.0,M2I2021,2.5,4986.866666666667,786.73,350,12
13,0.0,0.0,0.0,M2I2023,2.5,5081.8125,793.47,350,12
14,0.0,0.0,0.0,M2I2024,2.5,3511.413043478261,788.37,350,15
15,16650.0,0.0,13200.0,M2I2025,2.5,4560.428571428572,950.38,350,20
16,16650.0,0.0,13200.0,M2I2026,2.5,3651.875,46.64,350,17
17,16650.0,0.0,13200.0,M2I2027,2.5,2936.818181818182,23.35,350,18
18,0.0,0.0,0.0,M2I2029,2.5,4770.0,592.87,350,8
19,0.0,0.0,0.0,M2I2030,2.5,4025.9,678.78,350,13
20,0.0,0.0,0.0,M2I2031,2.5,4810.932203389831,662.85,350,11
21,0.0,0.0,0.0,M2I2033,2.5,4409.770114942528,706.08,350,11
22,0.0,0.0,0.0,M2I2034,2.5,2415.3571428571427,-704.27,350,21
23,0.0,0.0,0.0,M2I2036,2.5,3796.03305785124,-598.51,350,15
24,0.0,0.0,0.0,M2I2037,2.5,4414.311377245509,-563.55,350,15
25,0.0,0.0,13200.0,M2I2039,2.5,4295.490196078431,459.49,350,19
26,8000.0,0.0,8000.0,M2I2041,2.5,2087.1794871794873,186.07,350,17
27,5400.0,0.0,5400.0,M2I2042,2.5,2780.1,243.67,350,22
28,8000.0,0.0,8000.0,M2I2043,2.5,1934.4086021505377,146.48,350,15
29,8000.0,0.0,8000.0,M2I2044,2.5,1948.279569892473,150.72,350,15
30,0.0,0.0,0.0,M2I2045,2.5,2868.809523809524,612.67,350,8
31,0.0,0.0,0.0,M2I2047,2.5,2860.3030303030305,755.18,350,15
32,0.0,0.0,0.0,M2I2051,2.5,4145.098039215686,780.85,350,13
33,0.0,0.0,0.0,M2I2102,3.362285714285714,5998.719512195122,328.06,350,20
34,0.0,0.0,0.0,M2I2103,3.445714285714285,4642.64367816092,856.51,350,13
35,0.0,0.0,0.0,M2I2104,3.524375,4947.4,254.73,350,18
36,0.0,0.0,0.0,M2I2105,3.546875,4652.571428571428,55.05,350,14
37,0.0,0.0,0.0,M2I2106,2.5,4574.7,921.34,350,14
38,10000.0,0.0,5000.0,M2I2107,2.6387363038714393,2853.0158730158732,239.54,350,17
39,10000.0,0.0,5000.0,M2I2108,2.6099658460505797,3682.205882352941,393.43,350,22
40,10000.0,0.0,5000.0,M2I2109,3.6932432432432427,3414.6363636363635,-473.88,350,18
41,0.0,0.0,0.0,M2I2114,3.6833333333333336,4869.115044247787,-830.27,350,19
42,0.0,0.0,0.0,M2I2115,3.6916666666666664,5368.684210526316,-1134.29,350,20
43,0.0,0.0,0.0,M2I2116,3.275,4932.293577981652,-263.97,350,14
44,0.0,0.0,0.0,M2I2117,2.8800000190999997,5375.222222222223,75.02,350,15
45,0.0,0.0,0.0,M2I2118,3.525,3986.8263473053894,-560.47,350,15
46,0.0,0.0,0.0,M2I2120,2.3200000000000003,4243.181818181818,-549.69,350,15
47,0.0,0.0,0.0,M2I2121,3.595,3936.804733727811,-1596.85,350,9
48,0.0,0.0,0.0,M2I2122,3.3649999999999998,3549.2561983471073,10.59,350,9
49,0.0,0.0,0.0,M2I2123,2.2493768545297477,2290.8,544.55,350,15
50,0.0,0.0,0.0,M2I2124,3.01,1576.7142857142858,-874.1,350,15
51,0.0,0.0,0.0,M2I2125,1.9857142857142858,3147.1428571428573,-377.84,350,13
