,N_as_Nitrate_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,K_as_Potassium_kg_per_Ha,Field_Name,Crop_Area_Ha,Soil_Organic_Matter,Yield_Mass_kg_Per_Ha,CO2_kg_Emissions_per_Ha
0,6000.0,0.0,6000.0,M2I2001,200,2.5,4786.9,349.85
1,6600.0,0.0,6600.0,M2I2002,210,2.5,5234.476190476191,488.41
2,6000.0,0.0,6000.0,M2I2003,210,2.5,4358.380952380952,462.26
3,2600.0,11960.0,0.0,M2I2008,90,2.5,4960.0,1060.97
4,2600.0,11960.0,0.0,M2I2009,109,2.5,4477.614678899083,490.6
5,2600.0,11960.0,0.0,M2I2010,113,2.5,4445.221238938053,-85.83
6,2600.0,11960.0,0.0,M2I2012,115,2.5,5228.347826086957,-534.9
7,16650.0,0.0,13200.0,M2I2025,70,2.5,4560.428571428572,950.38
8,16650.0,0.0,13200.0,M2I2026,80,2.5,3651.875,46.64
9,16650.0,0.0,13200.0,M2I2027,110,2.5,2936.818181818182,23.35
10,0.0,0.0,13200.0,M2I2039,153,2.5,4295.490196078431,459.49
11,8000.0,0.0,8000.0,M2I2041,117,2.5,2087.1794871794873,186.07
12,5400.0,0.0,5400.0,M2I2042,100,2.5,2780.1,243.67
13,8000.0,0.0,8000.0,M2I2043,46.5,2.5,1934.4086021505377,146.48
14,8000.0,0.0,8000.0,M2I2044,93,2.5,1948.279569892473,150.72
15,4000.0,0.0,3000.0,M2I2132,120,2.132941176470588,2870.9166666666665,-503.51
16,1850.0,12950.0,1850.0,M2I2145,92,2.5,2108.2608695652175,1081.32
17,4160.0,0.0,4160.0,M2I2150,196,2.33,4778.367346938776,581.15
18,4160.0,0.0,4160.0,M2I2151,200,2.1,4260.0,22.05
19,4224.0,0.0,1760.0,M2V2020,84,2.7,2494.7619047619046,261.41
20,2100.0,0.0,2100.0,M2V2030,83.5,2.5,4753.053892215569,-62.67
21,10400.0,11500.0,10400.0,M2V2101,70,2.5,4699.857142857143,575.77
22,10400.0,11500.0,4000.0,M2V2102,95,2.45,5028.315789473684,519.62
23,10400.0,11500.0,10400.0,M2V2103,116,2.9,5892.413793103448,258.82
24,10400.0,11500.0,10400.0,M2V2104,200,2.855,4361.6,95.45
25,10400.0,11500.0,10400.0,M2V2105,208,2.21,4832.9807692307695,682.7
26,10000.0,0.0,7500.0,M2V2107,155,3.0479629629629637,991.2258064516129,78.64
27,8250.0,0.0,3000.0,M4V2004,25,4.546842105263158,4076.4,-1323.71
28,18130.5,0.0,0.0,M4V2013,20.9,2.5,3914.354066985646,-75.24
29,19323.0,0.0,0.0,M4V2014,21.6,2.5,5539.351851851851,76.09
30,17694.0,0.0,0.0,M4V2015,62.5,2.5,3080.96,-3.68
31,18468.0,0.0,0.0,M4V2016,113,2.5,4692.566371681416,-16.24
