,Field_Name,Harvest Year,CO2_kg_per_Ha,Total_Water_Applied_mm,Crop_Protection_Application_Doses,Enter Crop Area (ha),Enter Total Wet Mass Harvested (kg),Enter Dry Finished Yield Mass (kg),Soil_Organic_Matter,Yield_kg_per_Ha,Yield_kg_per_Ha_Dry,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha,Season
0,M6I2035,2020,-220.35,350.0,14.0,60.0,182960.0,180200,2.5,3049.333333333333,3003.333333333333,0.0,205.5,0.0,48.0,0.0,48.0,0.0,WINTER
1,M6I2036,2020,3847.21,350.0,18.0,180.0,643510.0,418990,2.5,3575.055555555556,2327.722222222222,138.0,108.0,0.0,108.0,0.0,108.0,0.0,WINTER
2,M6I2037,2020,415.52,350.0,13.0,100.0,311620.0,305180,2.5,3116.2,3051.8,138.0,60.0,0.0,60.0,0.0,60.0,0.0,WINTER
4,M6I2009,2020,724.51,350.0,9.0,90.0,691100.0,335950,2.5,7678.888888888889,3732.777777777778,151.8,18.0,32.05,90.0,2.6,96.0,0.0,WINTER
5,M6I2010,2020,502.1,350.0,9.0,55.0,426600.0,215560,2.5,7756.363636363636,3919.272727272728,128.8,18.0,32.05,90.0,2.6,90.0,0.0,WINTER
6,M6I2011,2020,539.27,350.0,10.0,50.0,411760.0,207120,2.5,8235.2,4142.4,128.8,18.0,32.05,90.0,2.6,102.0,0.0,WINTER
7,M6I20175,2020,814.34,350.0,9.0,25.0,204450.0,103080,2.5,8178.0,4123.2,151.8,24.0,32.05,120.0,2.6,0.0,138.0,WINTER
9,M6I2022,2020,549.46,350.0,10.0,95.0,709680.0,366480,2.5,7470.315789473684,3857.684210526316,128.8,18.0,32.05,90.0,2.6,0.0,102.0,WINTER
11,M6I20134,2020,730.99,350.0,17.0,100.0,867470.0,416470,2.5,8674.7,4164.7,115.0,10.0,52.5,75.0,0.0,50.0,90.0,WINTER
13,M6V2017,2020,-246.74,450.0,14.0,75.6,573520.0,309700,3.69,7586.243386243387,4096.560846560847,170.2,0.0,0.0,0.0,0.0,0.0,0.0,SUMMER
15,M6V2018,2020,219.02,450.0,20.0,52.8,380420.0,205430,3.38,7204.924242424243,3890.719696969697,87.4,0.0,0.0,0.0,0.0,0.0,90.0,SUMMER
17,M6I2015,2020,407.45,350.0,9.0,40.0,200620.0,99010,2.5,5015.5,2475.25,0.0,67.5,67.5,0.0,0.0,0.0,0.0,WINTER
19,M6I2016,2020,314.58,350.0,15.0,128.0,1533220.0,825180,2.5,11978.28125,6446.71875,0.0,37.125,62.425,0.0,119.6,0.0,0.0,WINTER
20,M6V2039,2020,860.73,450.0,18.0,45.0,537370.0,240740,2.6814285714285715,11941.555555555557,5349.777777777777,0.0,37.125,37.125,0.0,0.0,0.0,0.0,SUMMER
22,M6V2040,2020,799.98,450.0,17.0,45.0,480320.0,232330,2.6814285714285715,10673.777777777776,5162.888888888889,0.0,37.125,37.125,0.0,0.0,0.0,0.0,SUMMER
23,M7I2030,2020,1048.51,350.0,15.0,88.0,771880.0,329210,2.5,8771.363636363636,3741.022727272728,92.0,0.0,22.0,0.0,104.0,0.0,120.0,WINTER
