,yield per ha,CO2/ha,Soil_Organic_Matter,Application_Rate_Unit_kg/ha,Crop_Protection_Application_Doses,Total_Water_Applied_mm,Soil_pH
1,3003.3333333333335,-220.35,2.5,300.0,14,350,5.5
11,3003.3333333333335,-220.35,2.5,200.0,14,350,5.5
21,3003.3333333333335,-220.35,2.5,150.0,14,350,5.5
31,2327.722222222222,3847.21,2.5,300.0,18,350,5.5
41,2327.722222222222,3847.21,2.5,300.0,18,350,5.5
51,2327.722222222222,3847.21,2.5,300.0,18,350,5.5
61,3051.8,415.52,2.5,300.0,13,350,5.5
71,3051.8,415.52,2.5,300.0,13,350,5.5
81,2428.0526315789475,-936.41,3.0,110.0,19,450,6.25876288659794
91,2428.0526315789475,-936.41,3.0,80.0,19,450,6.25876288659794
101,4935.7,824.77,3.0,220.0,21,450,6.492307692307691
111,4935.7,824.77,3.0,200.0,21,450,6.492307692307691
121,4811.1,-804.41,2.9684210526315797,130.0,14,450,5.71486980596842
131,4811.1,-804.41,2.9684210526315797,137.0,14,450,5.71486980596842
141,3732.777777777778,724.51,2.5,160.0,9,350,5.5
151,3732.777777777778,724.51,2.5,225.0,9,350,5.5
161,3732.777777777778,724.51,2.5,150.0,9,350,5.5
171,3732.777777777778,724.51,2.5,5.0,9,350,5.5
181,3732.777777777778,724.51,2.5,130.0,9,350,5.5
191,3732.777777777778,724.51,2.5,150.0,9,350,5.5
201,3732.777777777778,724.51,2.5,50.0,9,350,5.5
211,3919.2727272727275,502.1,2.5,150.0,9,350,5.5
221,3919.2727272727275,502.1,2.5,225.0,9,350,5.5
231,3919.2727272727275,502.1,2.5,150.0,9,350,5.5
241,3919.2727272727275,502.1,2.5,5.0,9,350,5.5
251,3919.2727272727275,502.1,2.5,150.0,9,350,5.5
261,3919.2727272727275,502.1,2.5,130.0,9,350,5.5
271,4142.4,539.27,2.5,170.0,10,350,5.5
281,4142.4,539.27,2.5,225.0,10,350,5.5
291,4142.4,539.27,2.5,150.0,10,350,5.5
301,4142.4,539.27,2.5,5.0,10,350,5.5
311,4142.4,539.27,2.5,150.0,10,350,5.5
321,4142.4,539.27,2.5,130.0,10,350,5.5
331,4123.2,814.34,2.5,300.0,9,350,5.5
341,4123.2,814.34,2.5,150.0,9,350,5.5
351,4123.2,814.34,2.5,5.0,9,350,5.5
361,4123.2,814.34,2.5,230.0,9,350,5.5
371,4123.2,814.34,2.5,150.0,9,350,5.5
381,4123.2,814.34,2.5,130.0,9,350,5.5
391,4123.2,814.34,2.5,50.0,9,350,5.5
401,3857.684210526316,549.46,2.5,225.0,10,350,5.5
411,3857.684210526316,549.46,2.5,150.0,10,350,5.5
421,3857.684210526316,549.46,2.5,5.0,10,350,5.5
431,3857.684210526316,549.46,2.5,170.0,10,350,5.5
441,3857.684210526316,549.46,2.5,200.0,10,350,5.5
451,3857.684210526316,549.46,2.5,80.0,10,350,5.5
461,4164.7,730.99,2.5,250.0,17,350,5.5
471,4164.7,730.99,2.5,250.0,17,350,5.5
481,4164.7,730.99,2.5,150.0,17,350,5.5
491,4164.7,730.99,2.5,250.0,17,350,5.5
501,4096.560846560847,-246.74,3.69,130.0,14,450,5.5
511,4096.560846560847,-246.74,3.69,140.0,14,450,5.5
521,4096.560846560847,-246.74,3.69,100.0,14,450,5.5
531,3890.719696969697,219.02,3.38,150.0,20,450,5.5
541,3890.719696969697,219.02,3.38,100.0,20,450,5.5
551,3890.719696969697,219.02,3.38,90.0,20,450,5.5
561,2475.25,407.45,2.5,500.0,9,350,5.5
571,6446.71875,314.58,2.5,275.0,15,350,5.5
581,6446.71875,314.58,2.5,230.0,15,350,5.5
591,5349.777777777777,860.73,2.6814285714285715,275.0,18,450,5.5
601,5162.888888888889,799.98,2.6814285714285715,275.0,17,450,5.5
611,3741.0227272727275,1048.51,2.5,200.0,15,350,5.5
621,3741.0227272727275,1048.51,2.5,200.0,15,350,5.5
